;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
229;Nao_branca;FundamentalIncompleto;Zero;E
230;Nao_branca;Medio;Zero;E
231;Nao_branca;FundamentalIncompleto;Zero;E
232;Nao_branca;Medio;Zero;E
233;Nao_branca;Superior;Um;D
234;Nao_branca;Superior;Zero;E
235;Nao_branca;FundamentalIncompleto;Zero;E
236;Nao_branca;Superior;Zero;E
238;Nao_branca;FundamentalIncompleto;Zero;E
241;Nao_branca;FundamentalIncompleto;Zero;E
242;Nao_branca;Medio;Zero;E
243;Nao_branca;FundamentalIncompleto;Um;E
244;Branca;Superior;Um;D
245;Nao_branca;Medio;Zero;E
246;Nao_branca;Medio;Um;E
247;Branca;FundamentalIncompleto;Zero;E
249;Nao_branca;FundamentalCompleto;Zero;E
251;Branca;Medio;Um;E
254;Nao_branca;FundamentalIncompleto;Zero;E
256;Nao_branca;Medio;Zero;E
257;Nao_branca;Medio;Zero;E
258;Nao_branca;FundamentalIncompleto;Zero;E
260;Nao_branca;Medio;Zero;E
261;Nao_branca;Medio;Zero;E
263;Branca;Superior;Um;E
266;Nao_branca;FundamentalCompleto;Zero;E
267;Nao_branca;Superior;Um;E
268;Branca;FundamentalIncompleto;Zero;E
274;Nao_branca;FundamentalIncompleto;Um;E
275;Nao_branca;FundamentalIncompleto;Zero;E
276;Branca;Medio;Um;D
277;Branca;Medio;Zero;E
279;Nao declarado;FundamentalIncompleto;Zero;E
280;Nao_branca;Medio;Um;D
283;Nao_branca;Medio;Zero;E
284;Nao_branca;Medio;Zero;E
286;Nao_branca;Medio;Zero;E
287;Nao_branca;FundamentalIncompleto;Zero;E
288;Branca;Medio;Zero;E
289;Nao_branca;Medio;Zero;E
290;Nao_branca;Medio;Um;E
291;Nao_branca;Medio;Zero;E
292;Nao_branca;FundamentalCompleto;Zero;E
294;Nao_branca;FundamentalCompleto;Zero;E
295;Nao_branca;Medio;Zero;E
296;Nao_branca;Medio;Zero;E
300;Nao_branca;Medio;Zero;E
302;Nao_branca;Medio;Zero;E
304;Branca;Superior;Zero;E
305;Nao_branca;Medio;Zero;E
307;Branca;Medio;Zero;E
308;Nao_branca;Medio;Um;E
310;Nao_branca;Superior;Um;E
311;Nao_branca;FundamentalCompleto;Zero;E
312;Nao_branca;Medio;Um;D
313;Nao_branca;Superior;Zero;E
314;Branca;FundamentalIncompleto;Zero;E
316;Nao declarado;FundamentalIncompleto;Zero;E
317;Nao_branca;Medio;Zero;E
319;Nao_branca;Medio;Zero;E
320;Nao_branca;Medio;Um;E
321;Nao_branca;FundamentalIncompleto;Zero;E
322;Nao_branca;FundamentalCompleto;Zero;E
327;Nao_branca;Superior;Zero;E
330;Nao_branca;Medio;Um;E
331;Nao_branca;FundamentalIncompleto;Zero;E
333;Nao_branca;FundamentalCompleto;Zero;E
335;Nao_branca;Superior;Zero;E
338;Nao declarado;FundamentalIncompleto;Zero;E
339;Nao_branca;Superior;Zero;E
340;Branca;Medio;Dois;D
344;Nao_branca;Superior;Zero;E
348;Branca;Medio;Zero;E
349;Branca;Medio;Um;E
350;Branca;FundamentalIncompleto;Um;E
351;Nao_branca;Medio;Zero;E
352;Nao_branca;Medio;Zero;E
355;Nao_branca;Superior;Tres;C
356;Nao_branca;FundamentalCompleto;Zero;E
357;Nao_branca;Medio;Zero;E
360;Nao_branca;Medio;Zero;E
362;Nao_branca;Superior;Um;E
363;Nao_branca;Superior;Zero;E
366;Nao_branca;Medio;Um;E
367;Branca;Medio;Zero;E
368;Nao_branca;Medio;Um;E
369;Nao_branca;Superior;Um;E
370;Nao_branca;Medio;Zero;E
371;Nao_branca;Medio;Um;D
376;Nao_branca;Medio;Zero;E
377;Nao_branca;Medio;Um;E
378;Nao_branca;Superior;Zero;D
381;Nao_branca;FundamentalCompleto;Zero;E
383;Branca;Medio;Zero;E
384;Nao_branca;FundamentalIncompleto;Zero;E
389;Nao_branca;FundamentalCompleto;Zero;E
392;Nao_branca;Medio;Zero;E
396;Nao declarado;FundamentalIncompleto;Zero;E
397;Nao_branca;Superior;Zero;E
398;Nao_branca;Medio;Zero;E
399;Nao_branca;Medio;Zero;E
400;Branca;Medio;Zero;E
401;Branca;Superior;Um;D
402;Nao_branca;Superior;Zero;E
404;Branca;FundamentalIncompleto;Zero;E
405;Nao_branca;FundamentalIncompleto;Zero;E
406;Branca;FundamentalIncompleto;Zero;E
408;Nao_branca;Medio;Zero;E
409;Nao_branca;Medio;Zero;E
410;Nao_branca;Medio;Zero;E
411;Nao_branca;Medio;Zero;E
412;Nao_branca;Medio;Um;E
413;Nao_branca;Superior;Zero;E
414;Nao_branca;Medio;Um;E
415;Nao_branca;FundamentalCompleto;Zero;D
419;Nao_branca;Medio;Zero;E
421;Nao_branca;FundamentalCompleto;Zero;E
422;Branca;Medio;Zero;E
424;Nao_branca;FundamentalCompleto;Zero;E
425;Nao_branca;FundamentalIncompleto;Zero;E
426;Branca;Medio;Zero;E
427;Nao_branca;Medio;Um;E
428;Nao_branca;Superior;Um;E
429;Nao_branca;Medio;Zero;E
433;Nao_branca;FundamentalIncompleto;Um;E
437;Nao_branca;FundamentalIncompleto;Zero;E
439;Nao_branca;Medio;Zero;E
441;Nao_branca;FundamentalIncompleto;Um;E
442;Nao_branca;Superior;Zero;E
443;Nao_branca;Medio;Zero;E
444;Nao_branca;Medio;Zero;E
445;Nao_branca;Superior;Um;D
446;Nao_branca;Medio;Zero;E
448;Nao_branca;Superior;Zero;E
450;Nao_branca;FundamentalCompleto;Um;E
452;Nao_branca;Superior;Zero;E
453;Nao_branca;FundamentalIncompleto;Zero;E
454;Nao_branca;Medio;Zero;E
455;Branca;FundamentalCompleto;Zero;E
456;Nao_branca;Medio;Zero;E
459;Branca;Medio;Um;E
460;Nao_branca;FundamentalIncompleto;Zero;E
463;Nao_branca;Medio;Um;E
464;Nao_branca;FundamentalIncompleto;Zero;E
465;Nao_branca;Superior;Zero;E
466;Nao_branca;Superior;Um;D
470;Nao_branca;Superior;Zero;E
471;Nao_branca;Medio;Zero;E
473;Nao_branca;Medio;Zero;E
475;Branca;Medio;Um;E
478;Nao declarado;Medio;Zero;E
479;Nao_branca;FundamentalIncompleto;Zero;E
480;Nao declarado;FundamentalIncompleto;Zero;E
482;Nao_branca;Medio;Zero;E
486;Nao_branca;Superior;Zero;E
497;Nao_branca;Medio;Zero;E
498;Nao_branca;Medio;Zero;E
502;Branca;FundamentalCompleto;Zero;E
503;Nao_branca;FundamentalIncompleto;Zero;E
504;Nao_branca;NuncaEstudou;Zero;E
505;Nao declarado;Medio;Zero;E
507;Branca;FundamentalIncompleto;Zero;E
509;Nao_branca;FundamentalCompleto;Zero;E
510;Nao_branca;FundamentalIncompleto;Zero;E
513;Branca;Medio;Um;D
514;Nao_branca;FundamentalIncompleto;Um;E
518;Nao_branca;FundamentalIncompleto;Um;B
519;Branca;Superior;Zero;E
520;Nao_branca;NuncaEstudou;Zero;E
522;Nao_branca;Superior;Zero;E
524;Nao_branca;FundamentalCompleto;Zero;E
526;Nao_branca;FundamentalCompleto;Zero;E
529;Branca;FundamentalIncompleto;Um;E
534;Nao_branca;Medio;Zero;E
538;Nao_branca;FundamentalCompleto;Um;E
539;Nao_branca;Medio;Um;E
544;Nao_branca;FundamentalCompleto;Zero;E
547;Nao_branca;Medio;Zero;E
549;Nao_branca;Medio;Zero;E
550;Nao_branca;Medio;Um;E
551;Nao_branca;FundamentalIncompleto;Zero;E
552;Nao_branca;Medio;Zero;E
553;Nao_branca;Medio;Zero;E
555;Nao_branca;FundamentalCompleto;Zero;E
557;Nao_branca;FundamentalIncompleto;Zero;E
559;Branca;Medio;Zero;E
563;Branca;Superior;Um;D
564;Nao_branca;Medio;Zero;E
565;Nao_branca;Medio;Zero;E
566;Nao_branca;Superior;Zero;E
567;Branca;Medio;Um;E
569;Nao_branca;Medio;Zero;E
570;Nao_branca;FundamentalIncompleto;Zero;E
575;Nao_branca;FundamentalIncompleto;Zero;E
577;Nao_branca;Medio;Zero;E
579;Branca;Medio;Um;E
580;Nao_branca;Superior;Zero;E
581;Nao_branca;FundamentalIncompleto;Zero;E
582;Nao_branca;FundamentalIncompleto;Zero;E
583;Nao_branca;FundamentalIncompleto;Zero;E
584;Nao_branca;FundamentalIncompleto;Zero;E
585;Branca;FundamentalCompleto;Um;D
586;Nao_branca;FundamentalIncompleto;Zero;E
587;Nao_branca;FundamentalIncompleto;Zero;E
590;Nao_branca;FundamentalIncompleto;Zero;E
591;Nao_branca;FundamentalIncompleto;Zero;E
593;Branca;Superior;Zero;E
595;Branca;Medio;Zero;E
596;Nao_branca;Medio;Zero;E
598;Nao_branca;FundamentalCompleto;Um;E
599;Branca;Medio;Zero;E
602;Nao_branca;Medio;Zero;D
603;Nao_branca;Medio;Zero;E
604;Branca;Medio;Zero;E
606;Nao_branca;Superior;Zero;D
607;Branca;Superior;Zero;E
608;Nao_branca;Medio;Dois;D
609;Branca;Medio;Zero;E
610;Nao_branca;Medio;Zero;E
611;Nao_branca;Medio;Um;D
612;Branca;Medio;Zero;E
615;Nao_branca;NuncaEstudou;Zero;E
616;Nao_branca;NuncaEstudou;Zero;E
618;Nao_branca;Medio;Zero;E
620;Branca;FundamentalIncompleto;Um;E
622;Nao_branca;Medio;Dois;E
624;Nao_branca;Medio;Um;C
625;Nao_branca;FundamentalCompleto;Zero;E
626;Nao_branca;FundamentalIncompleto;Zero;E
630;Nao_branca;NuncaEstudou;Zero;E
632;Nao_branca;Superior;Zero;E
634;Nao_branca;NuncaEstudou;Zero;E
635;Nao_branca;Superior;Um;E
637;Nao_branca;Superior;Zero;E
638;Branca;Superior;Um;D
639;Nao_branca;Medio;Um;E
640;Branca;Medio;Zero;E
641;Nao_branca;FundamentalIncompleto;Zero;E
642;Nao_branca;Medio;Zero;E
644;Nao_branca;FundamentalIncompleto;Zero;D
646;Nao_branca;Superior;Um;E
647;Nao_branca;Superior;Zero;E
650;Nao_branca;FundamentalCompleto;Zero;E
651;Nao_branca;Medio;Zero;E
653;Nao_branca;Medio;Zero;E
654;Branca;Medio;Um;E
655;Nao_branca;FundamentalIncompleto;Zero;E
656;Nao_branca;FundamentalIncompleto;Zero;E
659;Nao_branca;Medio;Zero;E
662;Nao_branca;Medio;Zero;E
663;Nao_branca;FundamentalCompleto;Zero;E
664;Nao_branca;FundamentalIncompleto;Um;E
665;Nao_branca;Medio;Zero;E
666;Branca;FundamentalCompleto;Zero;E
667;Nao_branca;FundamentalIncompleto;Dois;E
672;Nao_branca;FundamentalIncompleto;Zero;E
673;Nao_branca;Medio;Zero;E
674;Branca;Medio;Um;E
675;Nao_branca;FundamentalIncompleto;Zero;E
676;Nao_branca;FundamentalIncompleto;Zero;E
677;Branca;Medio;Um;E
680;Nao_branca;FundamentalCompleto;Zero;E
681;Branca;FundamentalCompleto;Um;E
684;Nao declarado;Superior;Zero;E
685;Nao_branca;FundamentalIncompleto;Zero;E
687;Branca;Superior;Um;C
688;Nao_branca;FundamentalCompleto;Zero;E
689;Branca;FundamentalIncompleto;Zero;E
690;Nao_branca;Medio;Um;E
692;Nao_branca;Medio;Zero;E
693;Nao_branca;Medio;Zero;E
695;Nao_branca;Medio;Zero;E
696;Nao_branca;Superior;Zero;E
697;Nao_branca;Medio;Zero;E
699;Nao_branca;FundamentalCompleto;Zero;E
700;Nao_branca;FundamentalCompleto;Zero;E
702;Nao_branca;FundamentalIncompleto;Zero;E
703;Nao_branca;Medio;Zero;E
704;Nao_branca;Medio;Zero;E
705;Nao_branca;FundamentalCompleto;Zero;E
706;Nao declarado;Medio;Zero;E
708;Nao_branca;FundamentalCompleto;Zero;E
710;Nao_branca;Superior;Zero;E
711;Nao_branca;Medio;Zero;E
712;Nao_branca;Medio;Zero;E
713;Nao_branca;FundamentalIncompleto;Zero;E
715;Branca;Medio;Zero;E
718;Nao_branca;Superior;Dois;D
720;Branca;Medio;Zero;E
721;Nao_branca;Medio;Zero;E
724;Nao_branca;FundamentalIncompleto;Zero;E
728;Nao_branca;FundamentalIncompleto;Zero;E
729;Nao_branca;FundamentalIncompleto;Um;E
731;Branca;Superior;Um;D
732;Branca;FundamentalIncompleto;Zero;E
735;Nao_branca;FundamentalCompleto;Dois;B
736;Nao_branca;Medio;Zero;E
738;Nao_branca;Superior;Zero;D
739;Nao_branca;Medio;Um;E
740;Nao_branca;FundamentalIncompleto;Zero;E
741;Nao_branca;FundamentalCompleto;Um;E
742;Nao_branca;Medio;Zero;E
743;Nao_branca;Superior;Zero;E
748;Branca;Medio;Um;E
750;Nao_branca;Medio;Zero;E
751;Nao_branca;FundamentalIncompleto;Zero;E
752;Nao_branca;FundamentalIncompleto;Zero;E
753;Nao_branca;Medio;Zero;E
754;Branca;FundamentalCompleto;Zero;E
755;Nao_branca;FundamentalCompleto;Um;E
757;Nao_branca;Medio;Zero;E
758;Branca;Superior;Zero;E
759;Nao_branca;Medio;Zero;E
760;Nao_branca;NuncaEstudou;Zero;E
761;Nao_branca;Medio;Zero;E
764;Nao_branca;FundamentalIncompleto;Zero;E
767;Nao_branca;Medio;Zero;E
768;Nao_branca;Medio;Zero;E
770;Nao_branca;NuncaEstudou;Zero;E
771;Nao_branca;FundamentalIncompleto;Zero;E
772;Branca;Medio;Zero;E
773;Branca;Superior;Zero;C
774;Nao_branca;Superior;Um;E
779;Nao_branca;Medio;Um;E
781;Nao_branca;Superior;Um;E
784;Branca;Medio;Zero;E
786;Nao_branca;Superior;Zero;E
789;Nao_branca;Medio;Zero;E
790;Nao_branca;Medio;Um;E
791;Nao_branca;FundamentalCompleto;Zero;E
794;Nao_branca;Medio;Zero;E
795;Branca;Medio;Um;D
797;Branca;Medio;Zero;E
798;Nao_branca;Medio;Zero;E
799;Nao_branca;Superior;Zero;E
802;Nao_branca;FundamentalIncompleto;Zero;E
810;Nao_branca;Superior;Zero;E
817;Nao_branca;Medio;Zero;E
819;Nao_branca;FundamentalIncompleto;Zero;E
822;Nao_branca;Medio;Zero;E
824;Nao_branca;Superior;Zero;E
825;Branca;Medio;Zero;E
827;Nao_branca;Superior;Zero;E
828;Nao_branca;FundamentalCompleto;Zero;E
830;Nao_branca;Superior;Zero;E
831;Branca;NuncaEstudou;Zero;E
833;Branca;FundamentalCompleto;Um;E
835;Nao_branca;Superior;Um;E
836;Nao_branca;Superior;Zero;E
837;Nao_branca;Medio;Um;E
840;Nao_branca;FundamentalIncompleto;Zero;E
841;Nao_branca;Medio;Um;E
842;Nao_branca;Superior;Zero;E
844;Nao_branca;FundamentalCompleto;Zero;E
845;Nao_branca;Medio;Dois;D
847;Nao_branca;Superior;Zero;E
851;Nao_branca;Medio;Zero;E
853;Branca;FundamentalIncompleto;Zero;E
857;Nao declarado;FundamentalIncompleto;Um;E
862;Nao_branca;Medio;Dois;E
864;Branca;Medio;Um;E
865;Branca;Medio;Um;E
866;Nao_branca;FundamentalIncompleto;Zero;E
868;Nao_branca;Superior;Zero;E
869;Branca;Superior;Um;E
871;Nao_branca;Medio;Zero;E
873;Nao_branca;NuncaEstudou;Zero;D
875;Nao_branca;FundamentalIncompleto;Zero;E
876;Nao_branca;FundamentalCompleto;Zero;E
877;Nao_branca;FundamentalIncompleto;Zero;E
878;Branca;Medio;Zero;D
883;Nao_branca;NuncaEstudou;Zero;E
886;Nao_branca;FundamentalIncompleto;Zero;E
887;Nao_branca;Medio;Um;E
888;Nao_branca;FundamentalCompleto;Zero;E
890;Nao_branca;Medio;Zero;E
891;Branca;FundamentalCompleto;Zero;D
892;Nao_branca;Superior;Zero;D
895;Nao_branca;Superior;Um;E
897;Branca;Medio;Zero;E
898;Nao_branca;FundamentalIncompleto;Zero;E
901;Nao declarado;FundamentalIncompleto;Zero;E
903;Nao_branca;FundamentalIncompleto;Zero;E
904;Nao_branca;FundamentalIncompleto;Zero;E
905;Nao_branca;Medio;Zero;E
908;Nao_branca;Medio;Um;E
911;Branca;Medio;Zero;E
912;Nao_branca;FundamentalIncompleto;Um;D
913;Nao_branca;FundamentalIncompleto;Zero;E
915;Branca;Medio;Um;E
916;Nao_branca;FundamentalCompleto;Um;E
919;Branca;Medio;Um;E
920;Nao_branca;FundamentalIncompleto;Zero;E
922;Nao_branca;FundamentalIncompleto;Zero;E
924;Nao declarado;FundamentalIncompleto;Zero;E
926;Nao_branca;Superior;Um;E
927;Nao_branca;Medio;Zero;E
928;Nao_branca;Medio;Zero;E
930;Nao_branca;FundamentalCompleto;Um;E
931;Nao_branca;Superior;Zero;E
933;Nao_branca;Medio;Zero;E
934;Branca;Medio;Zero;E
937;Branca;FundamentalIncompleto;Zero;E
939;Nao_branca;NuncaEstudou;Zero;E
941;Nao_branca;Medio;Zero;E
944;Nao_branca;Superior;Zero;E
945;Nao_branca;Medio;Zero;D
946;Nao_branca;Superior;Zero;E
947;Nao_branca;Medio;Zero;E
954;Nao_branca;Medio;Dois;E
957;Nao_branca;Medio;Zero;E
959;Nao_branca;FundamentalIncompleto;Zero;E
960;Nao_branca;FundamentalIncompleto;Zero;E
963;Nao_branca;FundamentalCompleto;Zero;E
965;Nao_branca;FundamentalIncompleto;Um;D
966;Nao_branca;FundamentalCompleto;Zero;E
967;Nao_branca;Superior;Zero;E
968;Nao_branca;FundamentalIncompleto;Zero;E
970;Branca;Medio;Zero;E
972;Branca;FundamentalIncompleto;Zero;E
974;Nao_branca;NuncaEstudou;Zero;E
976;Nao_branca;Medio;Zero;E
977;Nao_branca;Superior;Zero;E
978;Nao_branca;FundamentalIncompleto;Zero;E
985;Nao_branca;Superior;Um;E
987;Branca;Medio;Um;E
988;Nao_branca;Medio;Zero;E
989;Branca;Superior;Dois;C
990;Nao_branca;Medio;Zero;D
993;Nao_branca;Medio;Zero;E
995;Nao_branca;Superior;Zero;E
996;Branca;Medio;Zero;E
997;Nao_branca;Medio;Um;E
998;Nao_branca;FundamentalCompleto;Zero;E
1000;Nao_branca;FundamentalIncompleto;Zero;E
1001;Nao_branca;FundamentalIncompleto;Um;E
1002;Nao_branca;Medio;Um;E
1004;Nao_branca;Medio;Zero;E
1005;Nao_branca;Superior;Zero;E
1006;Nao_branca;Medio;Um;E
1007;Nao_branca;Superior;Zero;E
1009;Nao_branca;FundamentalIncompleto;Zero;E
1012;Nao_branca;Superior;Zero;D
1014;Nao_branca;FundamentalIncompleto;Zero;E
1015;Nao_branca;Superior;Um;D
1018;Nao_branca;Superior;Zero;D
1019;Nao_branca;Medio;Zero;E
1020;Nao declarado;FundamentalIncompleto;Zero;E
1024;Nao_branca;FundamentalIncompleto;Zero;E
1026;Branca;FundamentalIncompleto;Zero;E
1027;Branca;FundamentalIncompleto;Zero;E
1030;Nao_branca;FundamentalCompleto;Um;E
1033;Nao_branca;Medio;Zero;E
1035;Branca;FundamentalCompleto;Zero;E
1039;Branca;FundamentalCompleto;Zero;E
1040;Nao_branca;Medio;Zero;E
1042;Branca;Medio;Zero;E
1043;Nao_branca;FundamentalCompleto;Um;E
1046;Nao_branca;Medio;Zero;E
1048;Nao_branca;FundamentalIncompleto;Zero;E
1049;Nao_branca;FundamentalIncompleto;Zero;E
1052;Nao_branca;Superior;Um;D
1053;Branca;Superior;Zero;E
1054;Branca;Medio;Zero;E
1056;Nao_branca;Medio;Zero;E
1057;Nao_branca;FundamentalIncompleto;Zero;E
1060;Nao_branca;FundamentalCompleto;Zero;E
1061;Nao_branca;FundamentalCompleto;Zero;E
1062;Nao_branca;Medio;Um;E
1064;Branca;Medio;Zero;E
1068;Nao_branca;Medio;Zero;E
1069;Nao_branca;Medio;Zero;E
1070;Branca;Superior;Um;D
1074;Branca;Superior;Um;C
1075;Nao_branca;Medio;Um;E
1081;Nao_branca;Medio;Zero;E
1083;Nao_branca;Medio;Zero;D
1084;Nao_branca;Medio;Zero;E
1085;Nao_branca;FundamentalCompleto;Zero;E
1088;Nao_branca;FundamentalIncompleto;Zero;E
1093;Nao_branca;FundamentalCompleto;Zero;E
1096;Nao_branca;Medio;Zero;E
1097;Nao_branca;FundamentalCompleto;Zero;E
1098;Branca;FundamentalCompleto;Zero;E
1100;Nao_branca;Medio;Um;E
1102;Nao_branca;FundamentalIncompleto;Zero;E
1103;Nao_branca;Medio;Tres;D
1107;Branca;Medio;Zero;E
1109;Branca;Medio;Zero;E
1113;Nao_branca;Medio;Zero;E
1114;Nao_branca;Medio;Zero;E
1115;Branca;Medio;Zero;E
1116;Branca;Superior;Dois;C
1117;Nao_branca;Medio;Zero;E
1119;Branca;Medio;Um;E
1120;Branca;NuncaEstudou;Zero;E
1122;Nao_branca;Medio;Zero;E
1123;Nao_branca;Medio;Zero;E
1125;Branca;FundamentalIncompleto;Zero;E
1126;Nao_branca;Superior;Um;E
1127;Nao_branca;Medio;Zero;E
1128;Nao_branca;Medio;Um;E
1131;Branca;Superior;Um;D
1138;Branca;Medio;Zero;E
1139;Nao_branca;Medio;Zero;E
1140;Nao_branca;Medio;Zero;E
1141;Nao_branca;Medio;Zero;E
1143;Nao_branca;FundamentalCompleto;Um;E
1146;Nao_branca;FundamentalCompleto;Zero;E
1148;Branca;Medio;Zero;E
1149;Nao_branca;Superior;Zero;E
1150;Nao_branca;NuncaEstudou;Zero;E
1153;Nao_branca;Medio;Um;D
1155;Nao_branca;FundamentalCompleto;Zero;E
1157;Nao_branca;Medio;Zero;E
1160;Nao_branca;Superior;Um;E
1162;Nao_branca;FundamentalIncompleto;Um;E
1163;Nao_branca;Medio;Um;E
1166;Nao_branca;Medio;Um;E
