;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
190;Nao_branca;Medio;Um;D
193;Nao_branca;FundamentalCompleto;Zero;E
194;Nao_branca;FundamentalIncompleto;Um;E
195;Nao_branca;NuncaEstudou;Zero;E
198;Branca;Medio;Zero;D
200;Nao_branca;FundamentalIncompleto;Zero;E
202;Branca;Medio;Dois;E
204;Nao_branca;Superior;Zero;E
206;Branca;Medio;Zero;D
208;Nao_branca;FundamentalIncompleto;Zero;E
210;Nao_branca;Medio;Zero;E
211;Branca;FundamentalIncompleto;Zero;E
212;Branca;FundamentalCompleto;Um;E
215;Nao_branca;Medio;Zero;E
219;Nao_branca;FundamentalCompleto;Um;E
220;Branca;FundamentalCompleto;Um;E
222;Nao_branca;FundamentalCompleto;Zero;E
223;Branca;Medio;Dois;D
224;Nao_branca;FundamentalIncompleto;Zero;E
227;Nao_branca;FundamentalIncompleto;Zero;E
228;Nao_branca;FundamentalIncompleto;Um;E
229;Nao_branca;NuncaEstudou;Zero;E
230;Nao_branca;FundamentalCompleto;Dois;E
231;Branca;FundamentalCompleto;Um;D
232;Nao_branca;FundamentalCompleto;Zero;E
234;Nao_branca;NuncaEstudou;Zero;E
236;Nao_branca;Superior;Um;E
237;Nao_branca;Superior;Um;D
238;Branca;FundamentalIncompleto;Zero;E
240;Nao_branca;FundamentalCompleto;Zero;E
241;Nao_branca;FundamentalIncompleto;Zero;E
242;Nao_branca;Superior;Zero;D
243;Branca;FundamentalCompleto;Um;E
245;Branca;FundamentalIncompleto;Um;E
246;Nao_branca;FundamentalIncompleto;Zero;E
248;Nao_branca;FundamentalIncompleto;Um;E
250;Branca;Medio;Um;E
251;Nao_branca;Superior;Um;D
253;Nao_branca;FundamentalIncompleto;Zero;E
254;Nao_branca;FundamentalCompleto;Zero;E
255;Nao_branca;NuncaEstudou;Zero;E
256;Branca;Medio;Zero;E
258;Nao_branca;Superior;Zero;E
259;Nao_branca;FundamentalCompleto;Zero;E
260;Nao declarado;FundamentalIncompleto;Zero;E
261;Nao_branca;FundamentalCompleto;Um;E
262;Nao_branca;Medio;Zero;E
263;Branca;FundamentalIncompleto;Zero;E
264;Nao_branca;FundamentalIncompleto;Zero;E
268;Nao_branca;Medio;Um;E
269;Nao_branca;Medio;Um;D
272;Nao_branca;FundamentalIncompleto;Um;E
273;Branca;Superior;Zero;E
275;Nao_branca;Medio;Um;E
276;Nao_branca;Superior;Um;E
277;Nao_branca;FundamentalCompleto;Zero;E
279;Nao_branca;NuncaEstudou;Zero;E
283;Nao_branca;FundamentalCompleto;Um;E
285;Nao_branca;FundamentalCompleto;Zero;E
289;Branca;Medio;Zero;E
290;Nao_branca;Medio;Um;D
291;Branca;Medio;Zero;E
292;Branca;Superior;Um;E
293;Nao declarado;Superior;Zero;E
294;Nao_branca;FundamentalCompleto;Um;E
295;Nao_branca;FundamentalIncompleto;Um;E
296;Branca;Medio;Um;D
297;Branca;Medio;Zero;E
298;Nao_branca;Medio;Zero;E
299;Nao_branca;Medio;Um;E
300;Branca;Superior;Um;E
302;Branca;Superior;Um;E
304;Nao_branca;Medio;Um;E
305;Nao_branca;Medio;Um;E
306;Nao_branca;FundamentalCompleto;Zero;E
307;Nao_branca;Superior;Um;C
308;Nao_branca;FundamentalIncompleto;Zero;E
309;Nao_branca;Medio;Zero;E
310;Branca;FundamentalCompleto;Um;E
311;Nao_branca;FundamentalCompleto;Zero;E
312;Nao_branca;Medio;Dois;E
313;Nao_branca;Medio;Zero;E
318;Nao_branca;NuncaEstudou;Um;E
321;Nao_branca;Medio;Zero;E
322;Branca;Medio;Zero;E
323;Nao_branca;Medio;Zero;E
325;Nao_branca;Medio;Zero;E
326;Nao_branca;Medio;Zero;E
327;Nao_branca;Medio;Zero;E
328;Nao_branca;Superior;Zero;E
329;Nao_branca;Medio;Zero;E
330;Nao_branca;Medio;Zero;E
331;Nao_branca;FundamentalIncompleto;Um;E
333;Nao_branca;Superior;Zero;E
334;Nao_branca;Medio;Zero;E
335;Nao_branca;FundamentalIncompleto;Zero;E
336;Branca;Medio;Um;D
337;Nao_branca;Superior;Zero;E
338;Nao_branca;FundamentalCompleto;Zero;E
339;Branca;FundamentalIncompleto;Zero;E
340;Nao_branca;Medio;Tres;D
341;Branca;Medio;Um;E
342;Nao_branca;FundamentalIncompleto;Um;D
343;Nao_branca;FundamentalCompleto;Um;E
344;Branca;FundamentalIncompleto;Zero;E
345;Branca;Superior;Um;E
346;Nao_branca;Medio;Um;E
348;Nao_branca;FundamentalIncompleto;Um;E
349;Nao_branca;Superior;Zero;E
352;Branca;Medio;Um;E
353;Nao_branca;FundamentalCompleto;Zero;E
354;Nao_branca;FundamentalCompleto;Um;E
355;Nao_branca;FundamentalCompleto;Zero;E
357;Nao_branca;FundamentalIncompleto;Zero;D
358;Nao_branca;Medio;Um;E
360;Nao_branca;FundamentalIncompleto;Zero;E
361;Nao_branca;Medio;Um;E
362;Nao_branca;FundamentalCompleto;Um;E
364;Nao_branca;FundamentalCompleto;Zero;E
366;Nao_branca;Medio;Zero;E
369;Nao declarado;FundamentalCompleto;Zero;E
370;Nao_branca;FundamentalCompleto;Zero;E
371;Branca;FundamentalIncompleto;Um;E
372;Nao_branca;NuncaEstudou;Zero;E
373;Nao_branca;Superior;Zero;E
374;Nao_branca;FundamentalCompleto;Zero;E
376;Nao_branca;Superior;Zero;D
377;Branca;FundamentalIncompleto;Zero;E
378;Branca;Superior;Um;C
379;Nao_branca;Medio;Um;D
380;Nao_branca;FundamentalIncompleto;Zero;E
382;Nao_branca;Medio;Zero;E
384;Nao_branca;FundamentalIncompleto;Zero;E
385;Nao_branca;FundamentalIncompleto;Um;E
387;Nao_branca;FundamentalCompleto;Um;E
388;Branca;Medio;Dois;E
389;Nao_branca;Superior;Um;C
390;Nao_branca;Medio;Um;E
391;Nao_branca;FundamentalCompleto;Zero;E
393;Nao_branca;Medio;Um;D
394;Nao_branca;FundamentalCompleto;Dois;E
395;Nao_branca;Medio;Zero;E
396;Branca;FundamentalIncompleto;Um;D
