;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
256;Branca;Medio;0;E1
257;Nao_branca;Fundamental;0;E1
258;Nao_branca;Fundamental;0;D1
260;Nao_branca;Fundamental;0;E1
261;Nao_branca;Fundamental;0;E1
262;Nao_branca;Medio;1;E1
263;Branca;Fundamental;0;D1
264;Nao_branca;Medio;1;C1
267;Branca;Superior;1;D1
268;Nao_branca;Superior;1;E1
269;Nao_branca;Fundamental;0;E1
270;Nao_branca;Superior;1;E1
271;Nao_branca;Fundamental;1;E1
272;Nao_branca;Superior;1;C1
273;Nao_branca;Medio;1;D1
274;Nao_branca;Medio;1;C1
275;Branca;Medio;1;E1
276;Nao declarado;Fundamental;0;E1
280;Branca;Fundamental;1;E1
281;Nao_branca;Medio;0;E1
282;Branca;Fundamental;0;C1
283;Nao_branca;Fundamental;0;E1
284;Nao_branca;Superior;1;D1
285;Branca;Medio;1;E1
286;Nao_branca;Medio;1;E1
289;Nao_branca;Fundamental;1;D1
290;Nao_branca;Medio;0;E1
292;Nao_branca;Fundamental;0;E1
295;Branca;Fundamental;1;D1
297;Nao_branca;Medio;1;E1
298;Nao_branca;Medio;1;D1
300;Nao_branca;Fundamental;1;E1
301;Nao_branca;Superior;0;E1
302;Branca;Medio;1;E1
303;Branca;Medio;1;E1
304;Nao_branca;Superior;1;C1
305;Nao_branca;Superior;1;D1
306;Branca;Fundamental;0;E1
307;Nao_branca;Fundamental;0;E1
308;Nao_branca;Fundamental;1;D1
310;Nao_branca;Fundamental;0;E1
312;Branca;Fundamental;0;E1
315;Branca;Superior;1;E1
316;Nao_branca;Fundamental;1;E1
317;Nao_branca;Fundamental;1;E1
318;Nao_branca;Fundamental;0;E1
319;Branca;Medio;1;D1
320;Nao_branca;Superior;1;C1
325;Nao_branca;Medio;0;E1
326;Nao_branca;Fundamental;0;E1
332;Nao_branca;Medio;0;E1
333;Nao_branca;Fundamental;1;E1
334;Nao_branca;Superior;1;E1
335;Nao_branca;Superior;1;C1
336;Nao_branca;Fundamental;1;E1
337;Nao_branca;Fundamental;0;D1
338;Branca;Medio;0;E1
339;Nao_branca;Superior;1;B1
342;Nao_branca;Fundamental;2;D1
344;Branca;Fundamental;1;D1
346;Nao_branca;Fundamental;1;E1
347;Nao_branca;Medio;1;E1
349;Nao_branca;Fundamental;1;E1
350;Nao_branca;Medio;1;D1
351;Nao_branca;Fundamental;1;D1
352;Nao_branca;Superior;1;C1
354;Nao_branca;Medio;0;E1
355;Nao_branca;Medio;0;E1
356;Nao_branca;Fundamental;2;E1
357;Nao_branca;Fundamental;1;E1
358;Nao_branca;Fundamental;0;E1
359;Branca;Fundamental;0;E1
360;Branca;Fundamental;1;E1
361;Nao_branca;Fundamental;1;E1
362;Nao_branca;Superior;2;C1
363;Nao declarado;Fundamental;0;E1
364;Nao_branca;Medio;1;D1
365;Nao_branca;Medio;0;D1
366;Branca;Fundamental;1;E1
367;Branca;Medio;2;D1
369;Nao_branca;Medio;0;E1
370;Nao_branca;Fundamental;1;D1
372;Nao declarado;Fundamental;1;E1
375;Nao_branca;Medio;1;D1
376;Nao_branca;Fundamental;0;E1
377;Branca;Fundamental;1;E1
378;Branca;Superior;1;E1
379;Branca;Fundamental;0;E1
380;Branca;Fundamental;0;E1
381;Nao_branca;Medio;1;C1
382;Nao_branca;Medio;1;D1
383;Nao_branca;Medio;0;E1
385;Nao_branca;Medio;1;E1
386;Nao_branca;Fundamental;0;D1
388;Nao_branca;Fundamental;1;E1
389;Branca;Medio;1;D1
391;Nao_branca;Fundamental;0;E1
393;Branca;Superior;0;E1
394;Nao_branca;Fundamental;1;E1
395;Branca;Medio;0;E1
396;Nao_branca;Fundamental;0;D1
400;Nao_branca;Fundamental;0;E1
402;Branca;Fundamental;0;E1
404;Nao_branca;Medio;0;E1
405;Branca;Medio;1;E1
406;Nao_branca;Medio;0;E1
407;Nao_branca;Superior;1;D1
410;Nao_branca;Medio;1;E1
411;Nao_branca;Medio;0;E1
412;Branca;Fundamental;1;E1
413;Nao_branca;Fundamental;1;D1
414;Branca;Medio;1;E1
415;Branca;Fundamental;0;E1
416;Nao_branca;Medio;0;E1
419;Branca;Fundamental;0;E1
420;Nao_branca;Medio;1;E1
421;Nao declarado;Medio;0;E1
422;Branca;Superior;1;D1
423;Nao_branca;Fundamental;1;C1
424;Branca;Medio;1;C1
426;Branca;Fundamental;1;E1
427;Nao_branca;Medio;0;D1
428;Nao_branca;Medio;1;D1
429;Branca;Medio;1;D1
430;Nao_branca;Fundamental;0;E1
432;Branca;Superior;3;C1
433;Nao_branca;Medio;1;E1
434;Branca;Fundamental;1;D1
436;Branca;Fundamental;0;E1
437;Nao_branca;Medio;1;E1
438;Nao_branca;Medio;0;E1
440;Nao_branca;Medio;1;E1
441;Nao_branca;Medio;0;E1
442;Nao_branca;Medio;0;E1
444;Nao_branca;Medio;0;D1
445;Branca;Fundamental;2;E1
446;Branca;Superior;0;C1
447;Nao_branca;Fundamental;1;E1
448;Nao_branca;Medio;1;E1
451;Nao_branca;Superior;1;B1
452;Nao_branca;Superior;1;C1
453;Branca;Medio;1;E1
454;Nao_branca;Medio;0;E1
456;Nao_branca;Medio;1;D1
457;Nao_branca;Fundamental;0;E1
458;Branca;Fundamental;0;E1
459;Branca;Fundamental;1;C1
460;Nao_branca;Medio;1;E1
461;Nao_branca;Fundamental;1;E1
462;Branca;Fundamental;0;D1
463;Nao_branca;Medio;1;D1
464;Nao_branca;Medio;1;E1
466;Nao_branca;Superior;1;D1
467;Nao_branca;Medio;0;E1
468;Nao_branca;Fundamental;1;E1
469;Nao_branca;Fundamental;2;E1
470;Branca;Fundamental;1;D1
471;Nao_branca;Medio;0;E1
472;Nao_branca;Medio;1;E1
473;Nao_branca;Fundamental;1;D1
474;Nao_branca;Fundamental;1;E1
475;Branca;Medio;0;E1
476;Branca;Fundamental;1;D1
477;Nao_branca;Fundamental;0;E1
478;Nao_branca;Superior;1;D1
479;Nao_branca;Fundamental;1;E1
480;Branca;Medio;1;D1
482;Branca;Fundamental;0;E1
483;Branca;Superior;0;E1
484;Branca;Fundamental;1;E1
485;Nao_branca;Fundamental;0;E1
486;Branca;Fundamental;1;E1
487;Branca;Fundamental;1;E1
488;Branca;Fundamental;1;E1
489;Nao_branca;Fundamental;0;E1
491;Nao_branca;Fundamental;1;D1
495;Nao_branca;Fundamental;1;E1
496;Nao_branca;Fundamental;1;C1
497;Nao_branca;Medio;1;E1
498;Branca;Fundamental;1;E1
499;Branca;Fundamental;1;E1
500;Nao_branca;Fundamental;0;D1
501;Nao_branca;Medio;0;E1
502;Branca;Medio;2;E1
504;Branca;Superior;3;C1
505;Nao_branca;Fundamental;1;D1
506;Nao_branca;Superior;0;E1
507;Nao_branca;Fundamental;1;E1
508;Branca;Fundamental;0;E1
509;Nao_branca;Fundamental;1;D1
510;Nao_branca;Fundamental;0;E1
511;Nao_branca;Medio;1;E1
512;Nao_branca;Medio;1;E1
513;Nao_branca;NuncaEstudou;0;E1
514;Branca;Medio;1;D1
515;Branca;Fundamental;1;E1
520;Nao_branca;Fundamental;1;D1
521;Nao_branca;Fundamental;0;E1
522;Branca;Medio;1;D1
525;Nao_branca;Fundamental;1;E1
526;Branca;Fundamental;1;E1
527;Nao_branca;Medio;1;D1
528;Branca;Medio;1;E1
529;Nao_branca;Fundamental;1;E1
530;Branca;Superior;1;C1
531;Nao_branca;Medio;1;E1
532;Branca;Fundamental;1;D1
533;Branca;Medio;1;E1
534;Branca;Fundamental;1;E1
536;Branca;Fundamental;0;E1
537;Nao_branca;Medio;0;E1
538;Branca;Medio;1;D1
540;Nao_branca;Fundamental;1;C1
541;Nao_branca;Fundamental;1;D1
543;Branca;Superior;0;E1
544;Nao_branca;Fundamental;0;E1
545;Nao_branca;Medio;1;E1
547;Nao_branca;Superior;1;C1
548;Nao_branca;Fundamental;1;E1
550;Nao_branca;Medio;1;E1
552;Nao_branca;Fundamental;0;E1
553;Nao_branca;Fundamental;1;E1
558;Nao_branca;Fundamental;1;D1
559;Nao_branca;Fundamental;1;E1
560;Nao_branca;Fundamental;2;C1
561;Nao_branca;Superior;1;C1
562;Nao_branca;Medio;1;E1
563;Branca;Fundamental;0;E1
566;Nao_branca;Fundamental;0;E1
567;Nao_branca;Superior;1;E1
568;Nao_branca;Fundamental;1;E1
570;Nao_branca;Fundamental;0;D1
571;Nao_branca;Medio;1;D1
573;Nao_branca;Fundamental;1;E1
574;Branca;Fundamental;1;E1
575;Nao_branca;Fundamental;1;E1
577;Nao_branca;Fundamental;0;E1
578;Nao_branca;Fundamental;0;E1
579;Branca;Fundamental;1;E1
581;Nao_branca;Superior;0;E1
583;Nao_branca;Fundamental;1;E1
584;Nao_branca;Fundamental;0;E1
585;Branca;Fundamental;0;D1
586;Nao_branca;Medio;1;E1
587;Nao_branca;Fundamental;0;E1
588;Branca;Fundamental;1;D1
589;Nao_branca;Superior;1;E1
590;Nao_branca;Fundamental;0;E1
591;Branca;Superior;1;D1
592;Branca;Fundamental;0;E1
593;Nao_branca;Superior;0;E1
594;Branca;Fundamental;0;E1
595;Branca;Medio;0;E1
596;Branca;Fundamental;2;D1
597;Branca;Medio;0;E1
598;Nao_branca;Medio;0;D1
599;Nao_branca;Fundamental;0;E1
600;Nao_branca;Medio;0;E1
601;Branca;Fundamental;0;E1
605;Nao_branca;Superior;1;E1
606;Branca;Medio;0;D1
607;Branca;Medio;1;C1
608;Branca;Fundamental;1;E1
611;Nao_branca;Fundamental;1;C1
612;Nao_branca;Fundamental;1;E1
613;Nao_branca;Fundamental;1;E1
614;Nao_branca;Fundamental;1;E1
618;Branca;Medio;1;C1
619;Branca;Fundamental;2;E1
620;Nao_branca;Medio;1;E1
621;Nao_branca;Fundamental;1;B1
622;Branca;Superior;0;E1
623;Nao_branca;Medio;1;D1
625;Nao_branca;Fundamental;1;E1
626;Branca;Fundamental;0;D1
627;Nao_branca;Fundamental;0;E1
628;Nao_branca;Fundamental;0;E1
629;Branca;Superior;1;D1
630;Nao_branca;NuncaEstudou;0;E1
