;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
0;Nao_branca;FundamentalIncompleto;Um;E
1;Nao_branca;Medio;Um;E
4;Nao_branca;FundamentalIncompleto;Zero;E
6;Nao_branca;FundamentalIncompleto;Zero;E
7;Nao_branca;FundamentalIncompleto;Um;E
8;Branca;FundamentalCompleto;Zero;E
9;Nao_branca;FundamentalIncompleto;Zero;E
10;Nao_branca;Medio;Zero;E
11;Nao_branca;NuncaEstudou;Zero;E
13;Nao_branca;Medio;Zero;E
14;Nao_branca;Medio;Um;D
15;Nao_branca;FundamentalCompleto;Zero;E
18;Nao_branca;Superior;Um;E
19;Branca;Medio;Zero;D
20;Nao_branca;FundamentalIncompleto;Zero;D
21;Nao_branca;Medio;Um;D
22;Branca;FundamentalCompleto;Zero;E
23;Branca;FundamentalIncompleto;Zero;E
24;Branca;FundamentalIncompleto;Zero;E
26;Nao_branca;FundamentalCompleto;Um;E
27;Nao_branca;FundamentalIncompleto;Zero;E
29;Nao_branca;Superior;Um;E
30;Nao_branca;Medio;Um;E
31;Nao_branca;FundamentalCompleto;Zero;E
32;Nao_branca;FundamentalIncompleto;Zero;E
33;Nao_branca;FundamentalCompleto;Zero;E
34;Nao_branca;Superior;Zero;E
35;Nao_branca;FundamentalCompleto;Zero;E
37;Nao_branca;FundamentalCompleto;Zero;E
38;Nao_branca;FundamentalCompleto;Um;E
39;Nao_branca;FundamentalIncompleto;Zero;E
40;Nao_branca;Medio;Um;D
42;Nao_branca;FundamentalIncompleto;Um;E
45;Nao_branca;Medio;Zero;E
47;Nao_branca;Medio;Um;E
48;Branca;Medio;Um;C
49;Nao_branca;Superior;Um;D
50;Nao_branca;Medio;Um;E
51;Nao_branca;Medio;Zero;E
52;Nao_branca;FundamentalCompleto;Zero;E
53;Nao_branca;FundamentalIncompleto;Zero;E
55;Nao_branca;FundamentalIncompleto;Zero;E
56;Nao_branca;FundamentalIncompleto;Zero;E
57;Branca;FundamentalCompleto;Zero;E
58;Nao_branca;FundamentalIncompleto;Zero;E
59;Branca;FundamentalIncompleto;Zero;E
60;Nao_branca;Medio;Zero;E
61;Nao_branca;Medio;Zero;E
62;Nao_branca;Medio;Zero;E
63;Branca;Medio;Zero;E
64;Nao_branca;FundamentalIncompleto;Zero;E
65;Branca;Superior;Quatro_ou_mais;D
67;Nao_branca;Medio;Zero;E
68;Branca;FundamentalCompleto;Um;E
69;Nao_branca;Medio;Zero;E
70;Nao_branca;Medio;Um;E
71;Branca;FundamentalIncompleto;Zero;E
72;Nao_branca;FundamentalIncompleto;Zero;E
73;Nao_branca;Superior;Zero;E
75;Nao_branca;FundamentalCompleto;Zero;E
77;Branca;Medio;Zero;E
78;Nao_branca;Medio;Zero;E
79;Nao declarado;Superior;Zero;E
80;Nao_branca;FundamentalIncompleto;Zero;E
81;Nao_branca;FundamentalCompleto;Zero;E
82;Nao_branca;FundamentalCompleto;Um;E
84;Nao_branca;FundamentalIncompleto;Zero;E
85;Branca;FundamentalIncompleto;Zero;E
86;Nao_branca;FundamentalIncompleto;Zero;E
87;Nao_branca;FundamentalCompleto;Zero;E
88;Nao_branca;FundamentalIncompleto;Zero;E
90;Nao_branca;Medio;Zero;E
91;Nao_branca;Superior;Um;E
92;Branca;FundamentalIncompleto;Zero;E
93;Nao_branca;FundamentalCompleto;Zero;E
94;Nao_branca;NuncaEstudou;Zero;E
96;Branca;Superior;Um;E
97;Nao_branca;FundamentalCompleto;Dois;D
98;Branca;FundamentalIncompleto;Zero;E
99;Branca;FundamentalIncompleto;Um;E
100;Nao_branca;FundamentalIncompleto;Zero;E
101;Nao_branca;FundamentalIncompleto;Zero;E
102;Nao_branca;NuncaEstudou;Um;E
103;Nao_branca;Superior;Zero;E
104;Nao_branca;Medio;Zero;E
105;Branca;FundamentalIncompleto;Um;E
106;Nao_branca;Superior;Um;D
107;Branca;FundamentalCompleto;Zero;E
108;Branca;FundamentalIncompleto;Um;E
110;Nao_branca;FundamentalIncompleto;Zero;E
111;Nao_branca;Medio;Um;E
112;Branca;FundamentalIncompleto;Zero;E
113;Nao declarado;FundamentalCompleto;Zero;E
115;Nao_branca;FundamentalIncompleto;Zero;E
116;Branca;Medio;Zero;E
117;Nao_branca;NuncaEstudou;Zero;E
