;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
343;Nao_branca;FundamentalIncompleto;Zero;E
345;Branca;Medio;Tres;C
346;Branca;FundamentalIncompleto;Zero;E
348;Nao_branca;FundamentalIncompleto;Um;D
349;Branca;Superior;Um;C
350;Nao_branca;FundamentalIncompleto;Zero;E
351;Branca;FundamentalCompleto;Um;E
356;Nao_branca;FundamentalIncompleto;Dois;D
358;Nao_branca;Medio;Um;C
361;Branca;FundamentalIncompleto;Um;E
364;Branca;Medio;Um;D
365;Nao_branca;Medio;Um;E
368;Branca;Superior;Um;C
370;Branca;FundamentalIncompleto;Zero;E
374;Branca;Superior;Dois;C
375;Nao_branca;Medio;Um;D
376;Branca;FundamentalIncompleto;Um;E
377;Nao_branca;Superior;Um;C
380;Nao_branca;Superior;Um;D
384;Branca;FundamentalCompleto;Zero;D
385;Nao_branca;FundamentalIncompleto;Um;E
392;Nao_branca;Superior;Dois;C
393;Branca;FundamentalIncompleto;Dois;C
397;Branca;Superior;Dois;C
408;Nao_branca;Medio;Um;E
409;Branca;Medio;Zero;E
410;Nao_branca;Medio;Zero;E
417;Branca;Medio;Um;D
418;Branca;FundamentalCompleto;Um;E
419;Nao_branca;Medio;Um;E
420;Nao_branca;Medio;Um;E
422;Nao declarado;Superior;Zero;E
423;Branca;Medio;Zero;E
424;Nao_branca;Medio;Zero;D
428;Nao_branca;FundamentalIncompleto;Um;E
429;Nao_branca;FundamentalIncompleto;Um;E
430;Nao_branca;Superior;Zero;E
431;Nao_branca;FundamentalIncompleto;Um;E
432;Nao_branca;FundamentalIncompleto;Zero;E
434;Nao_branca;FundamentalIncompleto;Zero;E
435;Nao_branca;Medio;Tres;C
439;Nao_branca;Medio;Zero;D
440;Branca;Medio;Dois;E
441;Branca;Medio;Zero;E
443;Nao declarado;Superior;Zero;E
447;Branca;Superior;Zero;D
450;Branca;Medio;Um;E
453;Branca;Medio;Um;E
457;Branca;Superior;Tres;D
458;Nao_branca;Medio;Um;E
460;Nao_branca;Superior;Dois;D
461;Nao_branca;Superior;Um;C
464;Branca;Superior;Dois;E
467;Branca;Superior;Quatro_ou_mais;C
469;Nao_branca;NuncaEstudou;Zero;E
471;Nao_branca;Medio;Zero;E
474;Branca;Medio;Zero;E
475;Branca;Superior;Um;E
476;Nao_branca;FundamentalCompleto;Um;E
485;Branca;FundamentalCompleto;Um;E
488;Nao_branca;Medio;Um;E
490;Branca;FundamentalIncompleto;Dois;C
495;Branca;Medio;Um;E
498;Nao_branca;Medio;Zero;E
499;Nao_branca;FundamentalIncompleto;Um;E
500;Branca;FundamentalIncompleto;Um;E
501;Nao_branca;Medio;Zero;E
502;Nao_branca;Superior;Dois;D
503;Branca;Medio;Um;E
504;Branca;Superior;Um;D
507;Nao_branca;FundamentalCompleto;Um;D
508;Branca;FundamentalIncompleto;Zero;E
514;Nao_branca;FundamentalIncompleto;Zero;E
515;Nao_branca;FundamentalCompleto;Um;E
516;Branca;Superior;Um;E
517;Nao_branca;Medio;Zero;E
518;Nao_branca;FundamentalIncompleto;Um;E
520;Branca;FundamentalCompleto;Dois;C
521;Nao_branca;FundamentalIncompleto;Zero;E
522;Branca;FundamentalIncompleto;Zero;E
523;Branca;Medio;Um;E
527;Nao_branca;Superior;Um;E
532;Nao_branca;FundamentalIncompleto;Um;E
534;Branca;Superior;Um;E
536;Branca;Medio;Dois;E
545;Nao_branca;FundamentalIncompleto;Zero;E
550;Nao_branca;FundamentalCompleto;Zero;E
551;Nao_branca;Medio;Zero;E
553;Nao_branca;FundamentalIncompleto;Zero;E
555;Nao_branca;FundamentalIncompleto;Zero;E
557;Nao_branca;FundamentalIncompleto;Um;E
559;Nao_branca;FundamentalCompleto;Um;E
560;Nao_branca;Medio;Um;E
564;Branca;Medio;Um;E
567;Branca;Medio;Um;E
571;Branca;FundamentalIncompleto;Zero;E
573;Branca;Medio;Um;D
574;Branca;FundamentalIncompleto;Um;C
576;Nao_branca;FundamentalCompleto;Zero;E
577;Nao_branca;Medio;Um;E
578;Nao_branca;Medio;Um;E
579;Branca;Superior;Dois;C
582;Nao_branca;FundamentalIncompleto;Um;E
584;Nao_branca;Superior;Um;D
587;Branca;FundamentalIncompleto;Um;E
589;Nao_branca;FundamentalIncompleto;Um;E
591;Nao_branca;FundamentalIncompleto;Um;E
601;Branca;Medio;Dois;D
604;Nao_branca;FundamentalCompleto;Um;E
606;Branca;Medio;Um;E
607;Branca;Medio;Um;C
608;Branca;Superior;Zero;E
609;Branca;Superior;Tres;C
612;Nao_branca;FundamentalIncompleto;Um;E
613;Nao_branca;Medio;Um;D
614;Branca;Superior;Dois;D
615;Branca;Medio;Um;E
617;Branca;Medio;Zero;D
621;Nao_branca;Medio;Zero;D
622;Branca;Medio;Um;D
623;Branca;Superior;Um;C
626;Nao_branca;FundamentalCompleto;Zero;E
628;Branca;Medio;Um;E
631;Nao_branca;Medio;Um;C
632;Nao_branca;FundamentalCompleto;Zero;E
635;Nao_branca;Medio;Um;E
639;Nao_branca;FundamentalIncompleto;Zero;E
641;Nao_branca;FundamentalIncompleto;Um;E
645;Nao_branca;Medio;Um;D
648;Nao_branca;Superior;Dois;D
650;Nao_branca;Superior;Dois;C
653;Branca;Medio;Um;D
654;Nao_branca;Medio;Um;D
655;Nao_branca;FundamentalCompleto;Um;D
656;Branca;Superior;Zero;E
658;Nao_branca;FundamentalIncompleto;Zero;E
664;Branca;Medio;Dois;D
665;Nao_branca;Superior;Um;E
666;Nao_branca;Medio;Tres;C
667;Nao declarado;Medio;Um;D
669;Nao_branca;Medio;Dois;D
676;Nao_branca;Medio;Um;E
678;Nao_branca;Medio;Dois;D
681;Branca;FundamentalIncompleto;Um;C
690;Branca;Superior;Zero;E
691;Nao_branca;Medio;Zero;E
692;Nao_branca;FundamentalIncompleto;Zero;E
698;Branca;Medio;Zero;D
700;Nao_branca;Medio;Zero;E
702;Branca;Medio;Um;E
704;Branca;FundamentalIncompleto;Zero;E
705;Nao_branca;Medio;Um;E
706;Branca;Medio;Quatro_ou_mais;C
708;Branca;Medio;Um;E
711;Nao_branca;Superior;Um;E
712;Nao_branca;Superior;Um;C
713;Nao_branca;Medio;Um;C
714;Branca;Superior;Um;B
715;Nao_branca;Superior;Um;E
722;Branca;FundamentalCompleto;Zero;E
726;Nao_branca;Medio;Um;E
728;Branca;Medio;Um;D
729;Branca;Medio;Zero;E
734;Nao_branca;Superior;Zero;E
736;Branca;Medio;Dois;C
739;Nao_branca;Medio;Zero;E
740;Nao_branca;FundamentalIncompleto;Um;E
743;Branca;Medio;Um;E
745;Nao_branca;Superior;Um;D
747;Nao_branca;FundamentalCompleto;Um;E
752;Nao_branca;Superior;Um;C
754;Branca;Medio;Um;E
758;Nao_branca;FundamentalIncompleto;Um;E
759;Nao_branca;Medio;Zero;E
760;Nao_branca;FundamentalIncompleto;Um;D
762;Branca;FundamentalCompleto;Um;D
768;Branca;FundamentalCompleto;Um;E
770;Branca;Medio;Zero;E
775;Branca;FundamentalCompleto;Zero;D
778;Nao_branca;Medio;Um;E
779;Branca;Medio;Zero;D
780;Branca;Medio;Um;E
781;Nao_branca;Medio;Zero;E
786;Nao_branca;Medio;Dois;E
788;Branca;Medio;Zero;E
790;Branca;FundamentalIncompleto;Um;E
791;Nao_branca;Medio;Um;E
792;Branca;Medio;Dois;C
794;Branca;Medio;Um;D
799;Branca;FundamentalCompleto;Um;E
801;Nao_branca;Superior;Um;D
802;Branca;Medio;Zero;D
804;Branca;Superior;Dois;C
805;Nao_branca;Medio;Dois;A
806;Nao_branca;FundamentalIncompleto;Zero;E
807;Nao_branca;Medio;Um;E
809;Nao declarado;FundamentalIncompleto;Um;E
812;Branca;Medio;Zero;E
819;Branca;Superior;Um;D
824;Nao_branca;FundamentalCompleto;Zero;D
829;Branca;FundamentalIncompleto;Zero;E
833;Nao_branca;Superior;Um;E
834;Branca;FundamentalIncompleto;Um;D
837;Branca;Superior;Zero;E
839;Nao_branca;Superior;Um;E
842;Branca;FundamentalIncompleto;Um;D
845;Nao_branca;Superior;Um;E
847;Nao_branca;FundamentalCompleto;Zero;E
849;Nao_branca;FundamentalIncompleto;Um;E
850;Branca;Superior;Um;E
852;Branca;Medio;Um;D
854;Nao_branca;Superior;Um;E
858;Branca;FundamentalIncompleto;Zero;E
862;Branca;Superior;Um;C
870;Nao_branca;Medio;Zero;E
872;Branca;Superior;Um;E
875;Branca;Medio;Zero;E
877;Branca;Medio;Um;D
879;Nao_branca;Medio;Um;E
881;Nao_branca;Superior;Um;E
886;Branca;FundamentalCompleto;Zero;E
888;Branca;Superior;Um;C
889;Branca;Medio;Dois;E
891;Branca;Medio;Um;E
893;Nao_branca;Superior;Um;E
894;Nao_branca;Medio;Zero;E
895;Branca;FundamentalCompleto;Zero;E
899;Branca;Superior;Um;C
902;Nao_branca;FundamentalCompleto;Dois;C
904;Branca;Medio;Um;D
906;Branca;Superior;Um;E
909;Branca;Medio;Zero;E
912;Branca;FundamentalIncompleto;Zero;D
913;Nao_branca;Medio;Um;C
915;Nao_branca;Medio;Zero;E
917;Nao_branca;FundamentalIncompleto;Um;E
919;Branca;FundamentalIncompleto;Um;E
920;Branca;FundamentalIncompleto;Zero;E
923;Nao_branca;Medio;Dois;D
928;Branca;Medio;Dois;D
929;Nao_branca;Medio;Um;E
930;Branca;Medio;Zero;D
931;Nao_branca;Medio;Um;C
932;Nao_branca;Medio;Um;D
933;Nao_branca;Superior;Um;E
934;Nao_branca;Superior;Um;C
935;Nao_branca;Medio;Um;E
937;Branca;Superior;Um;C
940;Nao_branca;FundamentalIncompleto;Um;E
942;Nao_branca;Medio;Um;C
944;Nao_branca;Medio;Um;E
945;Nao_branca;Medio;Um;E
947;Nao_branca;Medio;Zero;E
948;Branca;FundamentalIncompleto;Um;E
949;Branca;Medio;Dois;E
952;Nao_branca;Medio;Quatro_ou_mais;C
953;Nao_branca;Superior;Um;D
956;Branca;Medio;Um;C
957;Nao_branca;Medio;Um;C
959;Branca;FundamentalIncompleto;Um;D
960;Branca;Medio;Zero;E
961;Nao_branca;Medio;Um;D
962;Nao_branca;FundamentalCompleto;Um;E
963;Branca;Superior;Quatro_ou_mais;C
964;Branca;Superior;Um;C
966;Nao_branca;Superior;Um;D
971;Branca;Superior;Um;E
975;Nao_branca;FundamentalIncompleto;Um;E
982;Branca;Superior;Um;E
987;Nao_branca;Superior;Um;C
988;Nao_branca;Medio;Um;E
992;Nao_branca;FundamentalIncompleto;Zero;E
994;Nao_branca;Medio;Um;E
995;Branca;Medio;Zero;D
996;Branca;Medio;Dois;B
1001;Nao_branca;FundamentalIncompleto;Zero;E
1002;Branca;FundamentalIncompleto;Um;E
1004;Branca;Superior;Um;E
1005;Branca;Medio;Um;D
1009;Nao_branca;Medio;Zero;E
1013;Branca;FundamentalCompleto;Zero;D
1014;Nao_branca;FundamentalCompleto;Zero;E
1018;Nao_branca;FundamentalIncompleto;Zero;E
1019;Nao_branca;FundamentalCompleto;Dois;E
1026;Nao_branca;Superior;Dois;C
1028;Branca;Medio;Zero;E
1031;Nao_branca;FundamentalIncompleto;Um;C
1034;Nao_branca;Medio;Zero;E
1037;Nao_branca;Superior;Um;D
1038;Branca;Superior;Dois;E
1041;Nao_branca;Superior;Zero;C
1046;Nao_branca;FundamentalIncompleto;Um;E
1047;Nao_branca;Medio;Um;E
1053;Nao_branca;FundamentalIncompleto;Um;E
1054;Branca;Medio;Zero;D
1057;Nao_branca;Superior;Zero;D
1058;Branca;Medio;Dois;E
1061;Branca;FundamentalCompleto;Zero;E
1064;Branca;Superior;Dois;C
1082;Nao_branca;Medio;Um;E
1083;Branca;Medio;Zero;D
1084;Nao declarado;Medio;Um;E
1086;Branca;Superior;Um;C
1088;Branca;Medio;Um;D
1089;Nao_branca;FundamentalIncompleto;Um;E
1094;Nao_branca;Superior;Um;C
1096;Branca;Medio;Um;E
1100;Nao_branca;Medio;Dois;D
1101;Nao_branca;Superior;Zero;E
1105;Branca;FundamentalCompleto;Um;E
1107;Nao_branca;FundamentalIncompleto;Um;D
1111;Nao_branca;Medio;Um;C
1113;Nao_branca;FundamentalCompleto;Zero;E
1118;Branca;FundamentalIncompleto;Zero;E
1121;Nao_branca;FundamentalIncompleto;Um;E
1122;Nao_branca;Medio;Zero;D
1123;Nao declarado;Medio;Zero;E
1124;Nao_branca;Medio;Um;C
1125;Nao_branca;Superior;Dois;C
1129;Branca;Superior;Tres;C
1130;Nao_branca;Superior;Um;C
1131;Nao_branca;FundamentalCompleto;Um;D
1135;Branca;Superior;Zero;E
1136;Nao_branca;Medio;Um;D
1137;Nao_branca;Superior;Um;E
1138;Branca;FundamentalCompleto;Um;D
1139;Branca;FundamentalIncompleto;Zero;D
1143;Branca;FundamentalIncompleto;Zero;E
1146;Nao_branca;FundamentalIncompleto;Zero;E
1148;Nao_branca;Superior;Um;E
1150;Nao_branca;Superior;Um;E
1151;Branca;Medio;Um;C
1152;Branca;Medio;Zero;E
1154;Nao_branca;Medio;Um;E
1156;Branca;Medio;Zero;E
1158;Branca;FundamentalIncompleto;Zero;E
1159;Nao_branca;Medio;Um;D
1160;Branca;Superior;Dois;C
1164;Branca;Superior;Um;E
1166;Branca;Medio;Um;D
1170;Nao_branca;FundamentalIncompleto;Um;E
1176;Branca;Medio;Um;E
1177;Nao_branca;FundamentalCompleto;Zero;E
1178;Nao_branca;FundamentalIncompleto;Um;E
1182;Branca;Medio;Um;E
1184;Branca;FundamentalIncompleto;Um;E
1186;Branca;Superior;Um;C
1187;Branca;Medio;Dois;E
1189;Nao_branca;Medio;Zero;E
1190;Nao_branca;FundamentalCompleto;Zero;E
1192;Nao_branca;Medio;Um;E
1194;Branca;Medio;Zero;E
1197;Branca;FundamentalIncompleto;Zero;E
1198;Nao_branca;Medio;Dois;D
1201;Branca;Superior;Dois;E
1205;Nao_branca;FundamentalIncompleto;Zero;E
1206;Branca;Medio;Zero;E
1208;Branca;Medio;Um;E
1210;Branca;Medio;Um;E
1212;Nao_branca;FundamentalIncompleto;Zero;E
1213;Nao_branca;FundamentalCompleto;Um;E
1214;Nao_branca;Superior;Dois;E
1215;Nao_branca;FundamentalIncompleto;Um;C
1217;Branca;Medio;Zero;E
1219;Branca;FundamentalCompleto;Um;D
1222;Nao_branca;Medio;Um;D
1224;Branca;Medio;Um;E
1225;Branca;Medio;Um;E
1226;Nao_branca;Medio;Um;E
1227;Nao_branca;FundamentalIncompleto;Um;E
1232;Branca;FundamentalIncompleto;Zero;E
1235;Branca;Medio;Tres;D
1237;Branca;Superior;Zero;E
1238;Nao_branca;FundamentalCompleto;Um;E
1239;Branca;Medio;Um;E
1241;Nao_branca;Medio;Zero;E
1244;Nao_branca;FundamentalIncompleto;Um;E
1250;Nao_branca;FundamentalIncompleto;Dois;C
1251;Nao_branca;FundamentalCompleto;Zero;E
1252;Nao_branca;FundamentalCompleto;Um;D
1253;Nao_branca;Superior;Um;E
1255;Nao_branca;Medio;Um;E
1262;Branca;FundamentalIncompleto;Um;E
1273;Nao_branca;Superior;Zero;E
1274;Branca;Medio;Um;C
1282;Branca;FundamentalCompleto;Um;E
1285;Nao declarado;FundamentalCompleto;Dois;E
1287;Nao_branca;Medio;Um;E
1289;Nao_branca;Superior;Um;D
1293;Branca;Superior;Um;C
1294;Branca;Medio;Zero;E
1295;Nao_branca;FundamentalIncompleto;Zero;E
1297;Nao_branca;FundamentalIncompleto;Um;E
1300;Branca;Medio;Um;E
1304;Branca;Medio;Zero;C
1310;Nao_branca;FundamentalIncompleto;Um;E
1311;Branca;Medio;Zero;C
1313;Nao_branca;Medio;Um;E
1317;Nao_branca;Superior;Um;C
1318;Nao_branca;Superior;Dois;E
1319;Branca;Medio;Um;D
1322;Nao_branca;Medio;Zero;E
1325;Branca;FundamentalIncompleto;Zero;E
