;Unnamed: 0;NU_INSCRICAO;TP_SEXO;TP_COR_RACA;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;NO_MUNICIPIO_PROVA;CO_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_LINGUA;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
8830;1243615;210054201972;M;0;2;0;2;1.0;0;2112506.0;TutÃ³ia;MA;2.0;1.0;1.0;TutÃ³ia;21;1;1;1;1;451.3;382.3;521.6;483.1;0;1.0;140.0;200.0;140.0;160.0;120.0;760.0;B;H;A;F;6.0;A;A;B;D;A;B;B;C;B;A;A;A;A;C;B;A;E;A;A;B
8831;1243617;210051803579;F;3;2;0;2;1.0;0;2112100.0;Timbiras;MA;2.0;1.0;1.0;Timbiras;21;1;1;1;1;457.6;459.6;363.5;456.4;1;1.0;80.0;120.0;100.0;120.0;40.0;460.0;H;E;A;A;5.0;A;A;A;C;A;A;B;A;A;A;A;A;A;B;B;A;C;A;A;B
8833;1243754;210051320404;M;1;2;0;2;1.0;0;2111300.0;SÃ£o LuÃ­s;MA;2.0;1.0;1.0;SÃ£o LuÃ­s;21;1;1;1;1;442.5;571.5;408.1;649.1;1;1.0;120.0;120.0;120.0;140.0;120.0;620.0;G;F;D;D;4.0;F;A;B;D;B;B;B;B;B;A;B;A;A;B;A;A;D;B;A;B
8834;1243855;210054412734;M;3;2;0;2;1.0;0;2111300.0;SÃ£o LuÃ­s;MA;2.0;1.0;1.0;SÃ£o LuÃ­s;21;1;1;1;1;498.1;547.9;523.8;496.6;0;1.0;100.0;120.0;100.0;120.0;160.0;600.0;E;E;D;B;4.0;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
8835;1243864;210051907496;F;3;2;0;2;1.0;0;2112704.0;Vargem Grande;MA;2.0;1.0;1.0;Vargem Grande;21;1;1;1;1;417.9;0.0;354.4;369.6;0;1.0;120.0;100.0;80.0;120.0;80.0;500.0;B;E;C;B;4.0;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
8836;1243869;210052422798;F;2;2;0;2;1.0;0;2111300.0;SÃ£o LuÃ­s;MA;4.0;1.0;1.0;SÃ£o LuÃ­s;21;1;1;1;1;417.2;454.4;474.5;366.9;1;1.0;100.0;120.0;100.0;100.0;60.0;480.0;F;E;D;D;5.0;J;A;D;D;B;A;B;A;B;A;B;A;B;B;A;A;E;A;B;B
8837;1243907;210053544215;F;3;2;0;2;1.0;0;2111300.0;SÃ£o LuÃ­s;MA;4.0;1.0;1.0;SÃ£o LuÃ­s;21;1;1;1;1;611.9;652.1;613.8;689.8;0;1.0;160.0;200.0;160.0;160.0;180.0;860.0;G;G;D;D;2.0;G;A;B;C;B;A;B;B;B;A;A;A;A;B;A;A;C;A;B;B
8838;1243934;210052443986;F;1;2;0;2;1.0;0;2103604.0;CoroatÃ¡;MA;4.0;1.0;1.0;CoroatÃ¡;21;1;1;1;1;488.5;500.6;468.7;438.7;1;1.0;140.0;180.0;120.0;160.0;160.0;760.0;E;D;C;A;5.0;C;A;B;C;A;B;B;A;A;A;A;A;A;A;A;A;A;A;B;A
8839;1244003;210054049266;M;1;2;0;2;1.0;0;2111300.0;SÃ£o LuÃ­s;MA;1.0;1.0;1.0;SÃ£o LuÃ­s;21;1;1;1;1;647.6;671.3;655.9;673.0;0;1.0;120.0;120.0;120.0;120.0;200.0;680.0;F;G;D;F;4.0;F;A;E;E;B;A;B;B;B;A;B;A;A;C;A;B;D;A;A;B
8840;1244098;210054090145;F;3;2;0;3;1.0;0;2101608.0;Barra do Corda;MA;4.0;1.0;1.0;Barra do Corda;21;1;1;1;1;429.6;356.3;426.7;478.0;1;1.0;120.0;140.0;120.0;120.0;80.0;580.0;E;F;B;F;3.0;D;A;B;C;B;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A
