;Cluster_menor;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
0;C1;Branca;Superior;Dois;C1
1;C1;Nao_branca;Superior;Zero;E1
4;C1;Nao_branca;Fundamental;Um;E1
5;C1;Nao_branca;Fundamental;Um;E1
6;C2;Nao_branca;Medio;Dois;D1
7;C1;Branca;Superior;Um;E1
8;C3;Branca;Superior;Zero;D1
9;C1;Nao_branca;Superior;Um;D1
10;C3;Branca;Medio;Um;D1
11;C4;Nao_branca;Fundamental;Zero;E1
12;C4;Branca;Fundamental;Zero;E1
13;C2;Nao_branca;Medio;Zero;D1
14;C1;Nao_branca;Superior;Tres;B1
15;C5;Nao_branca;Medio;Um;D1
17;C2;Branca;Medio;Zero;E1
20;C5;Nao_branca;Medio;Um;E1
21;C4;Nao_branca;Fundamental;Zero;E1
23;C1;Branca;Superior;Dois;C1
24;C5;Nao_branca;Medio;Um;E1
25;C2;Nao_branca;Medio;Zero;D1
26;C1;Branca;Superior;Um;C1
27;C1;Branca;Superior;Um;C1
28;C4;Nao_branca;Fundamental;Zero;E1
31;C1;Nao_branca;Fundamental;Um;E1
33;C4;Nao_branca;Fundamental;Zero;E1
34;C4;Nao_branca;Fundamental;Zero;E1
35;C1;Nao_branca;Superior;Um;D1
37;C1;Nao_branca;Superior;Um;D1
38;C1;Nao_branca;Superior;Um;E1
39;C4;Nao_branca;Fundamental;Zero;E1
40;C5;Nao_branca;Medio;Um;E1
41;C2;Nao_branca;Medio;Dois;B1
42;C3;Branca;Fundamental;Um;E1
43;C3;Branca;Medio;Um;C1
44;C2;Nao_branca;Medio;Zero;E1
45;C2;Nao_branca;Medio;Zero;E1
46;C3;Branca;Fundamental;Um;E1
47;C4;Branca;Fundamental;Zero;E1
48;C5;Nao_branca;Medio;Um;D1
49;C4;Branca;Fundamental;Zero;E1
50;C4;Nao_branca;Fundamental;Zero;E1
51;C2;Nao_branca;Medio;Dois;D1
54;C3;Branca;Superior;Um;D1
55;C4;Branca;Fundamental;Zero;E1
56;C1;Nao_branca;Superior;Um;E1
57;C2;Nao_branca;Medio;Zero;E1
58;C4;Nao_branca;Fundamental;Zero;E1
59;C3;Branca;Superior;Um;D1
60;C4;Nao_branca;Fundamental;Zero;E1
61;C4;Nao_branca;Fundamental;Zero;D1
62;C5;Nao_branca;Medio;Um;E1
67;C5;Nao_branca;Medio;Um;E1
68;C5;Nao_branca;Medio;Um;E1
69;C2;Nao_branca;Medio;Zero;E1
70;C3;Branca;Medio;Um;D1
71;C3;Branca;Superior;Um;D1
72;C4;Nao_branca;Fundamental;Zero;E1
73;C4;Nao_branca;Fundamental;Zero;E1
78;C2;Branca;Medio;Zero;E1
81;C4;Nao_branca;Fundamental;Zero;E1
83;C1;Branca;Superior;Zero;E1
84;C3;Branca;Fundamental;Um;D1
85;C2;Branca;Medio;Zero;E1
86;C1;Nao_branca;Superior;Um;D1
87;C3;Branca;Superior;Um;D1
88;C2;Nao_branca;Medio;Zero;C1
89;C4;Nao_branca;Fundamental;Zero;E1
91;C5;Nao_branca;Medio;Um;E1
92;C4;Nao_branca;Fundamental;Zero;E1
94;C4;Nao_branca;Fundamental;Zero;E1
95;C5;Branca;Medio;Um;E1
96;C3;Branca;Medio;Um;B1
