;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
1;Branca;Medio;Zero;E
2;Nao_branca;Medio;Zero;E
4;Nao_branca;Medio;Zero;E
5;Branca;Superior;Um;E
6;Nao_branca;FundamentalIncompleto;Zero;E
7;Nao_branca;Medio;Zero;E
10;Branca;Medio;Um;E
11;Branca;Medio;Zero;E
12;Nao_branca;Medio;Um;D
13;Nao_branca;Medio;Zero;E
15;Nao_branca;Superior;Zero;E
16;Nao_branca;Superior;Zero;E
17;Nao_branca;Medio;Zero;E
18;Nao_branca;FundamentalIncompleto;Zero;E
19;Branca;Superior;Zero;E
21;Branca;Medio;Zero;E
22;Nao_branca;Medio;Zero;E
25;Nao_branca;NuncaEstudou;Zero;E
28;Nao_branca;Medio;Um;E
29;Nao_branca;Medio;Zero;E
30;Branca;Medio;Zero;E
31;Nao_branca;FundamentalIncompleto;Zero;E
32;Branca;FundamentalCompleto;Zero;E
34;Branca;Superior;Um;D
36;Nao_branca;FundamentalCompleto;Zero;E
40;Nao_branca;Medio;Zero;E
41;Nao_branca;FundamentalIncompleto;Zero;E
42;Nao_branca;Medio;Zero;E
44;Nao_branca;Medio;Zero;E
45;Nao_branca;Superior;Um;E
47;Nao_branca;Medio;Um;E
48;Nao_branca;FundamentalIncompleto;Zero;E
49;Branca;FundamentalIncompleto;Um;E
50;Nao_branca;Medio;Zero;E
51;Nao_branca;Medio;Zero;E
52;Nao_branca;FundamentalIncompleto;Zero;E
54;Nao_branca;FundamentalCompleto;Zero;E
55;Nao_branca;Medio;Zero;E
57;Nao_branca;FundamentalCompleto;Zero;E
58;Nao_branca;Medio;Zero;E
61;Branca;Superior;Zero;C
62;Nao_branca;Superior;Zero;E
64;Nao_branca;Medio;Zero;E
66;Nao_branca;Superior;Um;D
69;Branca;FundamentalCompleto;Um;E
70;Nao_branca;Medio;Zero;E
71;Nao_branca;Medio;Zero;D
75;Nao_branca;Medio;Um;E
77;Nao_branca;Medio;Zero;E
79;Nao_branca;FundamentalIncompleto;Zero;E
80;Branca;FundamentalIncompleto;Zero;E
81;Nao_branca;Medio;Um;E
82;Nao_branca;FundamentalIncompleto;Tres;E
84;Branca;Medio;Zero;E
86;Nao_branca;FundamentalCompleto;Zero;E
87;Nao_branca;Superior;Um;E
88;Branca;Medio;Zero;E
89;Nao_branca;FundamentalIncompleto;Zero;E
90;Nao_branca;FundamentalIncompleto;Zero;E
91;Branca;Medio;Zero;D
92;Nao_branca;FundamentalCompleto;Zero;E
93;Nao_branca;Medio;Zero;E
94;Nao_branca;Medio;Um;E
95;Branca;Medio;Zero;E
96;Nao_branca;Medio;Um;E
97;Nao_branca;Superior;Zero;E
98;Branca;FundamentalIncompleto;Zero;E
99;Nao_branca;Medio;Zero;E
100;Nao_branca;Medio;Zero;E
101;Nao declarado;FundamentalIncompleto;Zero;E
102;Nao_branca;Superior;Dois;C
104;Nao_branca;Medio;Um;D
105;Nao_branca;Superior;Um;E
107;Nao_branca;Medio;Zero;E
108;Nao_branca;FundamentalCompleto;Zero;E
109;Branca;Superior;Quatro_ou_mais;E
110;Nao_branca;FundamentalIncompleto;Zero;E
112;Branca;Superior;Um;E
113;Nao_branca;Superior;Um;D
115;Branca;Medio;Zero;E
116;Nao_branca;FundamentalIncompleto;Zero;E
118;Branca;Medio;Zero;E
119;Nao_branca;Superior;Um;D
120;Nao_branca;Medio;Zero;E
121;Nao_branca;FundamentalCompleto;Zero;E
123;Nao_branca;FundamentalCompleto;Zero;E
124;Nao_branca;Medio;Zero;E
127;Nao_branca;FundamentalCompleto;Zero;E
128;Nao_branca;Medio;Zero;E
129;Nao_branca;Medio;Zero;E
130;Branca;NuncaEstudou;Zero;E
131;Nao_branca;FundamentalIncompleto;Zero;E
134;Nao_branca;FundamentalCompleto;Zero;E
135;Branca;Superior;Um;E
139;Nao_branca;Medio;Um;E
141;Nao_branca;FundamentalCompleto;Um;E
142;Branca;Medio;Zero;E
145;Nao_branca;Superior;Zero;E
146;Nao_branca;Medio;Zero;E
148;Nao_branca;Medio;Um;E
149;Branca;Medio;Zero;E
151;Nao_branca;Superior;Zero;C
152;Branca;Medio;Zero;E
153;Nao_branca;FundamentalCompleto;Um;E
154;Nao_branca;FundamentalCompleto;Zero;E
155;Nao_branca;Medio;Zero;E
156;Nao_branca;Medio;Um;E
157;Branca;Medio;Zero;E
159;Nao_branca;FundamentalIncompleto;Zero;E
163;Nao_branca;Superior;Um;D
164;Nao declarado;Superior;Um;E
165;Branca;Medio;Zero;E
166;Nao_branca;Medio;Um;D
168;Nao_branca;Superior;Um;E
169;Nao_branca;Medio;Zero;E
171;Nao_branca;Medio;Zero;E
172;Nao_branca;FundamentalCompleto;Zero;E
173;Nao_branca;FundamentalIncompleto;Um;C
174;Branca;FundamentalIncompleto;Zero;E
175;Nao_branca;Medio;Zero;E
176;Branca;Medio;Zero;D
177;Nao_branca;FundamentalIncompleto;Zero;E
180;Nao_branca;FundamentalIncompleto;Zero;E
181;Branca;FundamentalCompleto;Zero;E
182;Branca;Superior;Zero;E
183;Branca;Medio;Zero;E
185;Nao_branca;Superior;Zero;E
186;Branca;Medio;Zero;E
187;Nao_branca;NuncaEstudou;Zero;E
188;Branca;FundamentalIncompleto;Zero;E
189;Nao declarado;Medio;Zero;E
