;Unnamed: 0;NU_INSCRICAO;TP_SEXO;TP_COR_RACA;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;NO_MUNICIPIO_PROVA;CO_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_LINGUA;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
13780;2744926;200002092250;F;1;2;0;3;1.0;0;2111300.0;SÃ£o LuÃ­s;MA;4.0;1.0;1.0;SÃ£o LuÃ­s;21;1;1;1;1;520.1;622.4;626.5;672.0;1;1.0;160.0;200.0;180.0;180.0;200.0;920.0;E;G;C;D;3.0;H;B;C;C;B;A;B;B;B;A;B;A;A;D;A;B;D;A;B;B
13782;2745512;200004308805;M;3;2;0;2;1.0;0;2111409.0;SÃ£o LuÃ­s Gonzaga do MaranhÃ£o;MA;2.0;1.0;1.0;Bacabal;21;1;1;1;1;412.9;483.9;423.8;420.7;1;1.0;80.0;40.0;40.0;100.0;20.0;280.0;D;E;C;A;5.0;B;A;B;D;A;B;B;A;A;A;A;A;A;B;A;A;C;A;A;A
13783;2745604;200001833197;F;1;2;0;3;1.0;0;2107506.0;PaÃ§o do Lumiar;MA;4.0;1.0;1.0;PaÃ§o do Lumiar;21;1;1;1;1;546.9;565.0;534.0;379.1;1;1.0;160.0;200.0;180.0;200.0;200.0;940.0;D;E;C;B;3.0;D;A;B;D;A;A;B;A;B;A;A;A;A;B;A;A;D;B;A;B
13784;2745625;200002963242;F;3;2;0;2;1.0;0;2100907.0;Araioses;MA;2.0;1.0;1.0;Araioses;21;1;1;1;1;430.9;354.4;438.4;411.2;0;1.0;100.0;200.0;120.0;100.0;0.0;520.0;E;E;C;B;6.0;D;A;B;D;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
13787;2746188;200005507329;M;3;2;0;2;1.0;0;2100907.0;Araioses;MA;2.0;2.0;1.0;Araioses;21;1;1;1;1;431.9;438.2;373.8;523.4;0;1.0;100.0;160.0;120.0;120.0;140.0;640.0;E;E;C;B;6.0;J;A;D;D;B;B;B;B;B;A;A;A;A;B;A;A;B;A;B;B
13788;2746398;200001927904;F;3;2;0;2;1.0;0;2107407.0;Olho d'Ãgua das CunhÃ£s;MA;2.0;2.0;4.0;Pio XII;21;1;1;1;1;448.1;379.0;352.3;418.8;1;1.0;120.0;120.0;100.0;100.0;0.0;440.0;C;D;A;A;6.0;B;A;B;C;A;A;B;A;A;A;A;A;A;B;B;A;C;A;A;A
13789;2746727;200001363935;M;3;2;0;2;1.0;0;2108801.0;Pirapemas;MA;2.0;1.0;1.0;Vargem Grande;21;1;1;1;1;403.5;392.7;432.0;427.4;1;1.0;120.0;120.0;120.0;160.0;120.0;640.0;D;D;A;B;6.0;D;A;C;E;A;B;B;A;A;A;A;A;A;B;B;A;D;A;A;A
13790;2747014;200001466865;F;2;2;0;2;0.0;0;2111300.0;SÃ£o LuÃ­s;MA;1.0;1.0;1.0;SÃ£o LuÃ­s;21;1;1;1;1;520.4;610.9;589.8;596.5;0;1.0;140.0;120.0;140.0;160.0;180.0;740.0;F;E;D;B;6.0;C;A;B;E;A;A;C;C;B;A;A;A;A;B;A;A;D;A;A;B
13791;2747060;200004469195;M;3;2;0;2;1.0;0;2101707.0;Barreirinhas;MA;1.0;2.0;1.0;Barreirinhas;21;1;1;1;1;385.0;393.1;522.2;380.9;0;1.0;60.0;60.0;60.0;40.0;80.0;300.0;E;E;B;B;5.0;C;A;D;C;C;C;B;B;B;A;B;A;A;B;A;A;C;A;B;B
13792;2747130;200002242568;F;3;2;0;2;1.0;0;2111300.0;SÃ£o LuÃ­s;MA;2.0;1.0;1.0;SÃ£o LuÃ­s;21;1;1;1;1;393.4;392.9;451.5;359.7;1;1.0;60.0;120.0;100.0;100.0;60.0;440.0;B;B;A;A;5.0;C;A;C;C;A;A;B;A;A;A;A;A;A;B;B;A;D;A;B;A
