;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
250;Nao_branca;Medio;0;E
251;Nao_branca;Fundamental;0;E
253;Branca;Medio;0;E
254;Nao_branca;Superior;1;E
255;Nao_branca;Medio;1;E
256;Branca;Fundamental;0;E
257;Nao_branca;Superior;2;C
258;Branca;Medio;1;D
260;Nao_branca;Fundamental;0;E
261;Branca;Fundamental;2;E
264;Branca;Fundamental;0;E
265;Nao_branca;Fundamental;0;E
266;Nao_branca;Superior;1;E
267;Nao_branca;Fundamental;0;E
268;Nao_branca;Fundamental;1;E
269;Nao_branca;Superior;1;C
270;Nao_branca;Medio;1;C
272;Branca;Superior;0;D
273;Nao_branca;Superior;1;D
274;Branca;Fundamental;1;D
275;Nao_branca;Medio;1;D
276;Branca;Medio;1;D
277;Branca;Fundamental;0;E
278;Branca;Medio;2;D
279;Branca;Fundamental;1;E
280;Nao_branca;Fundamental;1;C
281;Branca;Medio;1;C
282;Branca;Medio;1;C
284;Branca;Fundamental;0;E
285;Branca;Fundamental;1;E
286;Branca;Medio;0;E
288;Branca;Medio;1;E
289;Branca;Medio;0;E
290;Branca;Fundamental;0;E
291;Nao_branca;Fundamental;1;E
292;Nao_branca;Medio;1;E
296;Branca;Fundamental;0;E
297;Nao_branca;Superior;3;C
299;Branca;Medio;0;E
300;Branca;Medio;2;D
301;Branca;Superior;0;E
302;Nao_branca;Fundamental;1;E
303;Nao_branca;Medio;0;E
305;Branca;Medio;1;D
306;Branca;Fundamental;1;E
307;Nao_branca;Medio;0;D
309;Branca;Superior;1;E
310;Nao_branca;Fundamental;0;E
314;Branca;Fundamental;1;C
315;Branca;Fundamental;0;E
317;Nao_branca;Fundamental;1;E
318;Nao_branca;Fundamental;0;D
320;Branca;Medio;1;C
323;Nao_branca;Medio;1;E
324;Branca;Superior;1;D
325;Nao_branca;Medio;1;D
327;Nao_branca;Fundamental;1;C
328;Branca;Superior;1;E
329;Nao_branca;Medio;1;B
330;Nao_branca;Fundamental;1;D
331;Nao_branca;Fundamental;1;D
333;Branca;Superior;1;D
334;Branca;Superior;2;C
336;Nao_branca;Superior;1;E
338;Nao_branca;Medio;1;D
339;Nao_branca;Medio;0;E
340;Branca;Fundamental;1;D
341;Nao_branca;Superior;1;C
342;Nao_branca;Medio;1;E
344;Branca;Medio;0;E
345;Nao_branca;Superior;2;D
346;Nao_branca;Medio;1;D
347;Nao_branca;Superior;1;E
348;Nao_branca;Fundamental;0;E
349;Branca;Superior;2;C
351;Branca;Superior;0;E
352;Branca;Fundamental;0;E
353;Nao_branca;Medio;1;E
354;Nao_branca;Medio;1;E
355;Branca;Medio;1;E
357;Nao_branca;Superior;3;B
358;Branca;Fundamental;0;D
359;Nao declarado;Superior;2;C
361;Branca;Medio;1;E
362;Nao_branca;Medio;0;E
363;Nao_branca;Fundamental;0;E
365;Branca;Medio;1;E
366;Branca;Medio;3;B
367;Branca;Medio;1;C
370;Branca;Medio;1;E
371;Branca;Fundamental;0;D
373;Nao_branca;Fundamental;0;E
374;Nao_branca;Medio;1;D
376;Nao_branca;Superior;1;E
377;Nao_branca;Fundamental;1;E
378;Nao_branca;Superior;0;E
379;Branca;Medio;1;E
381;Branca;Fundamental;3;E
382;Nao_branca;Fundamental;1;E
383;Nao_branca;Medio;0;E
384;Nao_branca;Fundamental;1;E
386;Nao_branca;Medio;0;E
387;Branca;Superior;2;C
388;Nao_branca;Fundamental;1;E
389;Nao_branca;Medio;1;E
390;Nao_branca;Fundamental;0;E
391;Nao_branca;Medio;1;E
394;Branca;Fundamental;1;E
396;Nao_branca;Medio;1;C
398;Branca;Medio;2;D
399;Branca;Superior;1;E
400;Branca;Fundamental;0;E
401;Nao_branca;Fundamental;0;E
