;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
1;Nao_branca;FundamentalCompleto;Zero;E
3;Nao_branca;FundamentalCompleto;Zero;E
5;Branca;FundamentalIncompleto;Zero;E
6;Nao_branca;FundamentalIncompleto;Zero;E
7;Nao_branca;Medio;Dois;E
8;Nao_branca;FundamentalCompleto;Zero;E
9;Nao_branca;Superior;Um;D
10;Nao_branca;FundamentalIncompleto;Zero;E
11;Nao_branca;Medio;Zero;E
12;Nao_branca;Superior;Zero;D
13;Nao_branca;FundamentalIncompleto;Zero;E
14;Nao_branca;Superior;Zero;E
15;Nao_branca;Medio;Zero;E
16;Nao_branca;Superior;Um;E
17;Nao_branca;Medio;Zero;E
18;Nao_branca;FundamentalIncompleto;Zero;E
19;Nao_branca;FundamentalCompleto;Zero;E
20;Nao_branca;Superior;Dois;D
21;Nao_branca;FundamentalCompleto;Zero;E
22;Nao_branca;FundamentalCompleto;Zero;E
26;Nao_branca;FundamentalIncompleto;Zero;E
27;Nao_branca;Medio;Zero;E
28;Nao_branca;FundamentalIncompleto;Zero;E
29;Nao_branca;Medio;Um;E
30;Nao_branca;Medio;Zero;E
31;Nao_branca;Medio;Zero;E
32;Nao_branca;FundamentalIncompleto;Zero;E
33;Nao_branca;FundamentalCompleto;Zero;E
34;Branca;Medio;Zero;E
35;Nao_branca;Medio;Zero;E
36;Nao_branca;FundamentalIncompleto;Zero;E
37;Nao_branca;FundamentalCompleto;Zero;E
38;Nao_branca;FundamentalIncompleto;Um;E
41;Nao_branca;FundamentalIncompleto;Zero;E
42;Nao_branca;Medio;Zero;E
43;Nao_branca;NuncaEstudou;Zero;E
45;Nao_branca;FundamentalIncompleto;Zero;E
46;Branca;FundamentalIncompleto;Zero;E
49;Nao_branca;FundamentalIncompleto;Dois;E
51;Branca;Medio;Um;D
53;Branca;FundamentalCompleto;Zero;D
54;Nao_branca;FundamentalIncompleto;Zero;E
57;Nao_branca;Medio;Zero;E
58;Nao_branca;Medio;Zero;E
59;Nao_branca;Superior;Um;D
63;Nao_branca;Superior;Zero;E
66;Nao_branca;Medio;Zero;E
70;Branca;FundamentalIncompleto;Zero;E
71;Nao_branca;FundamentalCompleto;Zero;E
72;Branca;FundamentalIncompleto;Zero;E
73;Nao_branca;FundamentalIncompleto;Zero;E
74;Nao_branca;FundamentalCompleto;Um;E
75;Nao_branca;Superior;Um;D
76;Nao_branca;NuncaEstudou;Zero;E
77;Nao_branca;NuncaEstudou;Zero;E
78;Nao_branca;FundamentalCompleto;Zero;E
80;Nao_branca;FundamentalIncompleto;Zero;E
81;Nao_branca;Medio;Zero;E
82;Nao_branca;FundamentalIncompleto;Zero;E
83;Nao_branca;FundamentalIncompleto;Zero;E
84;Nao_branca;Superior;Zero;D
86;Nao_branca;Medio;Zero;D
88;Branca;Medio;Zero;E
90;Nao_branca;Superior;Zero;E
92;Nao_branca;Medio;Zero;E
94;Nao_branca;Medio;Zero;E
95;Nao_branca;Medio;Um;D
96;Nao_branca;Superior;Um;D
97;Nao_branca;Superior;Um;E
99;Nao_branca;FundamentalCompleto;Zero;D
100;Branca;FundamentalCompleto;Zero;D
101;Branca;Medio;Zero;E
103;Nao_branca;Medio;Um;E
104;Nao_branca;Medio;Zero;E
105;Nao_branca;FundamentalIncompleto;Um;E
106;Nao_branca;Superior;Zero;E
108;Nao_branca;Superior;Zero;E
109;Branca;Medio;Zero;E
111;Branca;Medio;Zero;E
112;Nao_branca;Superior;Um;D
113;Nao_branca;Superior;Zero;E
114;Nao declarado;FundamentalIncompleto;Zero;E
115;Nao_branca;Superior;Um;E
116;Nao_branca;Medio;Zero;E
117;Branca;Medio;Zero;E
118;Nao_branca;FundamentalIncompleto;Zero;E
119;Nao_branca;Superior;Zero;E
121;Nao_branca;Superior;Um;E
122;Nao_branca;Medio;Zero;E
123;Nao_branca;FundamentalIncompleto;Um;E
126;Nao_branca;FundamentalIncompleto;Zero;E
127;Nao_branca;Medio;Zero;E
128;Nao_branca;NuncaEstudou;Zero;E
129;Nao_branca;Medio;Zero;E
130;Branca;Superior;Um;D
131;Branca;FundamentalCompleto;Zero;E
132;Nao_branca;Medio;Zero;D
134;Nao_branca;FundamentalCompleto;Zero;E
135;Nao_branca;FundamentalCompleto;Zero;E
136;Nao_branca;Superior;Zero;E
137;Nao_branca;FundamentalIncompleto;Zero;E
138;Nao_branca;FundamentalIncompleto;Zero;E
139;Nao_branca;FundamentalIncompleto;Zero;E
141;Nao_branca;Superior;Um;D
142;Nao_branca;Medio;Um;E
143;Nao_branca;Superior;Um;E
144;Nao_branca;FundamentalIncompleto;Zero;E
145;Nao_branca;FundamentalIncompleto;Zero;E
146;Nao_branca;FundamentalIncompleto;Zero;E
147;Nao_branca;Superior;Zero;D
148;Nao_branca;Medio;Zero;E
149;Nao_branca;Superior;Zero;E
150;Nao_branca;FundamentalCompleto;Zero;E
151;Nao_branca;Medio;Zero;E
152;Branca;Superior;Zero;E
153;Nao_branca;Medio;Zero;E
157;Nao_branca;NuncaEstudou;Zero;E
158;Branca;Superior;Zero;E
159;Nao_branca;Superior;Zero;E
161;Nao_branca;Medio;Zero;E
162;Nao_branca;Superior;Zero;E
163;Nao_branca;FundamentalIncompleto;Zero;E
165;Branca;FundamentalIncompleto;Zero;E
166;Nao_branca;FundamentalCompleto;Zero;E
167;Branca;Medio;Zero;E
168;Nao_branca;FundamentalIncompleto;Zero;E
169;Nao_branca;Medio;Zero;E
172;Nao_branca;Superior;Zero;E
173;Nao_branca;Medio;Um;E
174;Nao_branca;Medio;Zero;E
175;Nao_branca;Superior;Zero;E
176;Nao_branca;Medio;Zero;E
177;Nao_branca;FundamentalCompleto;Zero;E
178;Nao_branca;Superior;Zero;E
179;Nao_branca;FundamentalCompleto;Zero;E
181;Nao_branca;NuncaEstudou;Zero;E
183;Branca;Medio;Um;E
186;Branca;Medio;Zero;E
187;Nao_branca;FundamentalCompleto;Dois;E
188;Nao_branca;Superior;Zero;E
190;Nao_branca;NuncaEstudou;Zero;E
191;Branca;FundamentalIncompleto;Zero;E
192;Nao_branca;FundamentalCompleto;Zero;E
193;Nao_branca;Medio;Um;E
195;Branca;Medio;Um;E
196;Nao_branca;Medio;Dois;E
197;Nao_branca;FundamentalIncompleto;Zero;E
200;Nao_branca;FundamentalCompleto;Zero;E
201;Nao_branca;FundamentalCompleto;Zero;E
204;Branca;Medio;Zero;E
205;Nao_branca;FundamentalIncompleto;Zero;E
206;Nao_branca;Medio;Zero;E
207;Nao_branca;Medio;Zero;E
208;Branca;FundamentalCompleto;Zero;E
209;Nao_branca;FundamentalIncompleto;Zero;C
210;Nao_branca;Superior;Zero;E
211;Nao_branca;Medio;Zero;E
212;Nao_branca;FundamentalIncompleto;Um;E
213;Nao_branca;Medio;Zero;E
214;Nao_branca;FundamentalIncompleto;Zero;E
215;Nao_branca;FundamentalIncompleto;Zero;E
216;Nao_branca;Medio;Zero;E
218;Nao_branca;FundamentalCompleto;Zero;E
219;Nao_branca;Medio;Zero;E
221;Nao_branca;FundamentalCompleto;Zero;E
222;Branca;FundamentalCompleto;Zero;E
224;Nao_branca;FundamentalCompleto;Zero;E
225;Nao_branca;FundamentalIncompleto;Zero;E
226;Nao_branca;Medio;Dois;D
227;Nao_branca;FundamentalIncompleto;Zero;E
228;Branca;Medio;Um;E
229;Nao_branca;Superior;Zero;E
230;Nao_branca;Medio;Um;D
232;Nao_branca;FundamentalCompleto;Zero;E
234;Nao_branca;FundamentalIncompleto;Zero;E
235;Branca;FundamentalIncompleto;Zero;E
237;Nao_branca;FundamentalIncompleto;Zero;E
238;Nao_branca;Medio;Zero;E
239;Branca;FundamentalCompleto;Um;E
240;Nao_branca;FundamentalIncompleto;Zero;E
241;Nao_branca;FundamentalIncompleto;Zero;E
242;Nao_branca;Medio;Zero;E
245;Nao_branca;FundamentalCompleto;Zero;E
246;Branca;Medio;Zero;E
247;Nao_branca;FundamentalCompleto;Um;E
248;Nao_branca;FundamentalCompleto;Zero;E
249;Nao_branca;FundamentalIncompleto;Zero;E
250;Nao_branca;FundamentalCompleto;Zero;E
252;Nao_branca;FundamentalIncompleto;Um;E
253;Nao_branca;FundamentalIncompleto;Zero;E
254;Nao_branca;Medio;Zero;E
255;Branca;FundamentalIncompleto;Zero;E
256;Nao_branca;FundamentalIncompleto;Zero;E
260;Branca;Medio;Zero;E
261;Nao_branca;Superior;Um;E
262;Nao declarado;NuncaEstudou;Zero;E
263;Nao_branca;Medio;Zero;D
264;Nao_branca;FundamentalCompleto;Zero;E
265;Nao_branca;Superior;Zero;E
267;Nao_branca;Medio;Zero;E
