;Cluster_menor;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
208;C3;Nao_branca;Fundamental;1;E1
210;C3;Nao_branca;Fundamental;0;D1
212;C3;Nao_branca;Fundamental;1;E1
213;C1;Branca;Fundamental;1;D1
215;C2;Nao_branca;Fundamental;2;D1
216;C3;Nao_branca;Fundamental;0;E1
217;C1;Nao declarado;Medio;1;E1
218;C3;Nao_branca;Fundamental;0;E1
219;C3;Nao_branca;Fundamental;0;E1
220;C2;Nao_branca;Medio;1;D1
221;C1;Branca;Fundamental;1;E1
223;C3;Branca;Fundamental;0;D1
224;C1;Nao_branca;Medio;1;B1
226;C1;Branca;Medio;1;E1
227;C3;Branca;Fundamental;0;E1
228;C1;Nao declarado;Medio;1;E1
229;C1;Nao_branca;Medio;1;E1
230;C2;Branca;Superior;1;D1
232;C2;Nao_branca;Superior;0;D1
233;C2;Nao_branca;Fundamental;2;D1
234;C3;Branca;Fundamental;0;E1
236;C3;Nao_branca;Fundamental;1;E1
238;C1;Branca;Medio;0;E1
241;C1;Branca;Superior;0;C1
243;C1;Branca;Medio;0;E1
244;C1;Nao_branca;Medio;1;E1
245;C3;Nao_branca;Medio;0;E1
251;C3;Nao_branca;Fundamental;1;E1
252;C3;Nao_branca;Medio;0;E1
253;C2;Nao_branca;Fundamental;2;D1
254;C3;Nao_branca;Fundamental;0;E1
255;C2;Nao_branca;Superior;1;C1
256;C3;Nao_branca;Superior;0;E1
257;C3;Nao_branca;Fundamental;0;D1
259;C3;Nao_branca;Superior;0;E1
260;C3;Nao_branca;Fundamental;1;E1
261;C1;Nao_branca;Medio;1;E1
262;C3;Nao_branca;Medio;0;E1
263;C1;Nao_branca;Medio;1;E1
264;C3;Branca;Fundamental;0;E1
265;C2;Nao_branca;Superior;1;E1
267;C1;Branca;Medio;0;D1
268;C3;Nao_branca;Fundamental;1;E1
270;C3;Branca;Fundamental;0;E1
271;C1;Branca;Fundamental;4;C1
274;C3;Nao_branca;Fundamental;0;E1
275;C1;Branca;Fundamental;1;C1
276;C1;Nao_branca;Medio;1;C1
277;C2;Nao_branca;Fundamental;1;D1
279;C3;Nao_branca;Medio;0;E1
280;C3;Branca;Fundamental;0;D1
282;C1;Branca;Fundamental;1;C1
283;C3;Nao_branca;Fundamental;0;E1
286;C1;Branca;Fundamental;1;E1
287;C3;Branca;Fundamental;0;E1
288;C1;Branca;Superior;1;E1
289;C3;Branca;Fundamental;0;E1
290;C1;Branca;Medio;1;D1
291;C1;Branca;Fundamental;1;E1
293;C1;Branca;Medio;1;E1
294;C1;Nao_branca;Medio;1;E1
296;C3;Nao_branca;Medio;0;E1
298;C1;Branca;Superior;2;C1
299;C1;Branca;Medio;2;D1
301;C2;Nao_branca;Fundamental;1;D1
303;C1;Branca;Medio;0;E1
304;C1;Branca;Fundamental;1;D1
